TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"MacrophSub""""";"Grunter""""";"MacrophSal""""";"Epiph""""";"BenthFeed""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"SkipJack""""";"CatFish""""";"DuskyKob""""";"Bird""""";"Leer""""";;SUM
"CatFish""""";0,03;0;0,02;0,02;0,02;0;0,03;0,07;0,02;0,02;0;0,03;0;0;0,07;0;0,05;0;0;0,1;0;0,03;0,07;0,07;0,07;0,05;0;0,07;0,03;0;;0,85
"Copyp""""";0,13;0,08;0;0,13;0,03;0,07;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,03;0,05;0;0;0,03;0,03;0,02;0,02;0;0;;0,85
"Det""""";0;0;0;0;0,05;0;0,03;0,05;0,1;0;0,03;0,1;0,05;0,05;0,08;0,02;0,02;0,02;0;0,12;0;0;0,07;0,05;0,03;0;0,02;0,03;0;0,02;;0,93
"DuskyKob""""";0,03;0;0,02;0,03;0,03;0;0,05;0,05;0,03;0,03;0;0,07;0,02;0;0,07;0;0,03;0;0;0,12;0;0,03;0,07;0,07;0,1;0,05;0,07;0;0,02;0;;0,98
"Epiph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FishLarv""""";0,07;0,05;0,07;0,07;0,02;0;0,07;0;0;0;0;0;0;0;0;0;0;0;0;0,07;0;0,03;0;0;0,02;0,02;0;0;0;0;;0,47
"FreeWat""""";0,03;0,03;0,03;0,03;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,15
"Graz""""";0;0;0;0;0;0;0;0,03;0,03;0,03;0;0,03;0,03;0,03;0,03;0;0;0;0;0,03;0;0;0,03;0,02;0;0;0;0;0;0;;0,32
"Grunter""""";0,02;0;0;0;0,03;0;0,03;0,07;0,02;0,02;0;0;0,02;0,02;0,05;0,02;0;0,02;0;0,15;0;0,02;0,07;0,03;0,03;0,02;0,05;0,03;0,03;0,02;;0,75
"Herb""""";0;0;0;0,03;0,07;0;0,1;0,12;0,08;0,08;0,03;0,17;0,07;0,03;0;0;0,05;0;0;0,25;0;0;0,13;0,13;0,07;0,02;0,07;0,07;0,02;0;;1,58
"Leer""""";0;0;0;0;0,02;0;0;0;0,02;0,02;0;0;0,02;0,02;0;0,02;0,02;0,02;0;0,02;0;0;0;0;0;0;0;0;0;0;;0,15
"MacrophSal""""";0;0;0;0;0,02;0;0;0;0,02;0,02;0;0;0,02;0,02;0;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0,02;;0,15
"MacrophSub""""";0;0;0;0;0,02;0;0;0;0,02;0,02;0;0;0,02;0,02;0;0;0,02;0,02;0;0,02;0;0;0;0;0;0;0;0;0;0,02;;0,15
"MeioFau""""";0;0;0;0;0,03;0;0,02;0,05;0;0,1;0,03;0,08;0,05;0,05;0,08;0,02;0,02;0,02;0;0,1;0;0;0,07;0,05;0,03;0;0,02;0,03;0;0,02;;0,87
"MicroZoopl""""";0,08;0;0,08;0,08;0,02;0,05;0,07;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,03;0,03;0;0;0,02;0,02;0;0;0;0;;0,53
"Mysid""""";0,13;0,08;0,13;0;0,07;0,07;0,15;0;0;0;0;0,03;0,02;0;0,03;0;0;0;0;0,13;0,03;0,05;0;0,02;0,03;0,03;0,02;0,03;0;0;;1,07
"Phyto""""";0;0,08;0,13;0,13;0,05;0,07;0,13;0;0;0;0;0;0;0;0;0;0,02;0;0;0,12;0,03;0,07;0;0;0,05;0,05;0,03;0,03;0,02;0;;1,02
"Pisci""""";0,05;0,02;0,03;0,03;0,03;0,02;0,07;0,05;0,03;0,03;0;0,07;0,02;0;0,07;0;0,03;0;0;0,13;0;0,05;0,07;0,07;0;0,07;0,07;0,1;0,02;0;;1,12
"SedBaci""""";0;0;0;0;0;0;0;0,15;0,07;0,07;0,03;0,08;0,03;0,03;0,13;0;0,07;0;0;0,17;0;0;0;0,1;0,07;0,02;0,07;0,07;0,02;0;;1,17
"SkipJack""""";0,05;0,02;0,03;0,03;0,02;0,02;0,05;0,02;0;0;0;0,02;0;0;0,02;0;0,02;0;0;0,07;0;0,05;0,02;0,02;0,07;0;0,05;0,05;0,02;0;;0,62
"Sol""""";0;0;0;0;0,02;0;0;0,03;0,05;0,05;0,03;0,03;0,05;0;0,03;0,02;0,02;0,02;0;0,05;0;0;0,03;0,02;0;0;0;0;0;0,02;;0,47
"SuspFeed""""";0;0;0;0,03;0,08;0;0,1;0,07;0,08;0,1;0,03;0;0,07;0,03;0,17;0;0;0;0;0,18;0;0;0,08;0,1;0,07;0,02;0,03;0,07;0;0;;1,32
"UpoAfri""""";0,05;0,02;0,03;0,07;0;0,02;0,13;0;0,03;0,05;0;0,08;0,05;0,02;0,07;0,02;0,03;0,02;0;0,15;0;0,02;0;0,03;0,03;0,02;0,02;0,03;0,02;0,02;;1,02
"ZooplEater""""";0,13;0,07;0,12;0,15;0,13;0,07;0;0;0,02;0,03;0;0,1;0,03;0;0,1;0;0,03;0;0;0,23;0,02;0,07;0;0,03;0,07;0,05;0,03;0,05;0,02;0;;1,55
