TI3;"Sciae""""";"Carang""""";"Centrop""""";"Haemu""""";"PecDeFon""""";"Calli""""";"PecAgu""""";"PelaMen""""";"Gerre""""";"Gobi""""";"Mugil""""";"Palaemo""""";"Panae""""";"MicroCrus""""";"Gusan""""";"Gastro""""";"Elop""""";"Lutja""""";"Poeci""""";"Bivalv""""";"ProdPrimBen""""";"Ari""""";"Zoopl""""";"Chan""""";"Fitopl""""";;SUM;;;
WI3;"Sciae""""";"Carang""""";"Centrop""""";"Haemu""""";"PecDeFon""""";"Calli""""";"PecAgu""""";"PelaMen""""";"Gerre""""";"Gobi""""";"Mugil""""";"Palaemo""""";"Panae""""";"MicroCrus""""";"Gusan""""";"Gastro""""";"Elop""""";"Lutja""""";"Poeci""""";"Bivalv""""";"ProdPrimBen""""";"Ari""""";"Zoopl""""";"Chan""""";"Fitopl""""";;SUM;;;
"Ari""""";3470106,54;223341,03;2406636,82;1346729,33;1521650,25;51283791,42;12006947,42;69319474,94;8381071,24;1462963,68;36398675,39;11452597,88;105825810,3;1280925700;701372836,9;170441497,5;134568,87;28298,17;760145;772984142,4;758707078,3;3840774,15;6180586795;1146390,32;4951137389;;15127165412,74;;thresold:;996105858,85
"Bivalv""""";487631589,6;54072049,51;638755327;689774233,9;138874638,3;13751768084;7928855363;85019424950;4347094499;525559346,7;5554874780;3000375227;1359528224;2,56791E+11;30871568892;31500828,89;10666697,9;4462511,8;14563240,31;5,92251E+11;30919571406;454696554,4;2,85147E+12;444761240,2;1,2428E+13;;16314791270627,30;;;996105858,85
"Calli""""";41055516,67;2735782,69;26524355,64;17048817,31;15330238,71;490301021,4;161442075,2;1411599355;103522048,1;16231867,51;384041174,4;124292024,4;997848114,4;17144815283;8073631687;1925292272;1403623,64;303170,38;7689330,67;20627652127;6896360963;45250404,2;1,69362E+11;27172373,53;1,04914E+11;;332817682996,41;;;
"Carang""""";115828,75;7369,43;117413,6;61884,55;64089,97;2188626,16;706459,02;4909499,2;487145,7;81438,66;1782614,82;674911,14;5644596,29;78985370,33;33054233,67;9292830,76;5579,03;1251,05;39336,2;64886459,42;37098769,34;157652,49;517332495,7;89114,4;392927492,1;;1150712461,78;;;
"Centrop""""";2265047,31;156551,47;1145417,66;733129,92;792318,79;28292646,02;5455672,97;50348893,17;3680834,25;611825,86;17084856,44;4285481,64;44031811,44;781708566,1;391956147;84008962,72;71000,53;15248,74;353351,84;1022008523;323355974,6;2265069,95;9355799370;1457120,64;1717355489;;13839239311,75;;;
"Chan""""";447857,49;44557,2;546420,24;577245,18;133466,49;10868949,41;6540903,26;63512615,57;3577583,26;441722,48;4929810,42;2537952,71;2005541,84;138114688,1;30271937,45;643310,3;10576,66;3594,96;17548,12;266856744,1;34514287,11;404608,35;265023553;68247,09;10161164444;;10993258165,13;;;
"Elop""""";64001,95;4184,27;39937,8;23428,89;25829,73;842174,18;214522,76;1031929,55;145132,88;24315,44;626739,75;183912,78;1810158,8;21068282,69;14291980,57;3478839,23;2331,56;470,96;14022,61;9600028,11;12128998,84;71242,34;76521378,66;15864,99;63487444,09;;205717153,44;;;
"Fitopl""""";1655226393;163719788,4;536673590,4;421486177,2;433223273,2;34971442159;1138377583;1,85781E+11;1182654995;129925365,4;5843408691;444482474,6;6776899652;2,27734E+12;1,08843E+11;5029144435;35270802,27;16030319,5;63206226,09;6,21401E+12;1,09713E+11;1456216879;5,89512E+13;8467637037;8,25279E+11;;68740958440775,20;;;
"Gastro""""";185536208,9;10841635,89;73507842,38;46613512,12;62842136,61;1796939454;98314775,94;536402569,3;81295087,52;25546593,72;996105858,9;152885406;1803008240;10693809389;10917097090;29334483,9;5411527,7;954104,76;10868000,89;44101160,45;23888478330;140363586,2;4381172217;1501057,36;14081604419;;70064534685,72;;;
"Gerre""""";8250489,28;568336,65;3220729,97;2219804,5;2570559,84;96620578,18;8631379,24;218339053,3;6222288,24;1208860,99;43389943,46;7064892,63;79581570,24;2770614578;738666076;81295087,52;225762,25;50493,04;600287,72;6085932299;892316624,1;6902058,67;57322850620;8347694,26;3311433986;;71697124052,70;;;
"Gobi""""";1379193,53;95011,77;535347,63;374381,65;422298,72;15149743,01;1788387,79;28412730,95;1208860,99;216465,27;7551093,2;1245046,12;15254229,99;390662204;163873816,3;25546593,72;37824,02;8039,26;128093,9;735783085,4;143677244,9;1204793,62;6955488941;1030685,79;363791023,2;;8854865135,46;;;
"Gusan""""";852516223,5;49581350,5;440950665,4;253222348,3;330645699,9;9688358024;1273883091;6755670971;949713526,3;210694906,7;6328265340;1537244122;15493615420;1,45532E+11;89839199074;14036267687;28583961,15;5299273,8;100974244,9;55568824006;1,46841E+11;742630062,6;4,57076E+11;90815812,36;3,91834E+11;;1345860649729,62;;;
"Haemu""""";946148,82;67041,6;595668,06;343378,12;382901,1;14775641,67;2918980,33;36894499,47;2061247,04;347640,1;8874869,73;2666071,65;25387673,45;564891003,1;182882807,1;43283975,54;33841,72;8010,07;188132,31;896706504,1;180712513,4;1029851,84;8269246913;1250697,89;1095864061;;11332360072,25;;;
"Lutja""""";20200,39;1355,31;12389,6;8010,07;7653,85;262747,67;71828,96;508651,88;46886,4;7465,02;184189,18;55446,38;475155,97;6658842,4;3827253,3;885954,42;680,27;143,6;3665,26;5801265,34;3385135,8;21639,78;45114529,36;7789,09;41678830,71;;109047710,00;;;
"MicroCrus""""";1907040338;138224398,1;1025992493;912516235,7;564889775,5;24002741396;7344558376;73066742593;4155921866;585993306;11735443405;3195228599;13918136340;3,16708E+11;1,69788E+11;16040714083;49159326,29;10756591,57;117945758,7;5,39262E+11;1,723E+11;1582319983;3,045E+12;483401408,3;9,56484E+12;;13968731426347,90;;;
"Mugil""""";28958043,2;1931166,06;13881445,86;8874869,73;9971321,97;332835684,5;59722014,38;430005927,5;40290661,79;7011729,4;206952215,6;48087713,51;511880942,4;7264798298;4570413856;924955440,4;905290,76;184189,18;4076468,27;7221337214;3992437332;27834281,18;65697607857;10681255,9;15192862597;;106608497816,51;;;
"Palaemo""""";8051585,12;562425,95;2678426,02;2050824,34;2263700,73;82861349,59;7746402,68;119645455,9;5046351,88;889318,66;36990548,85;3773731,24;59889810,89;1521537428;854024512,3;109203861,4;204347,53;42651,06;567844,22;3000375227;659035095,8;6736822,28;28662623670;4229921,18;888964949,2;;36039996261,77;;;
"Panae""""";95232136,22;6114979,32;35775846,79;25387673,45;28925611,48;864801699,1;115637485;523176997,3;73897172,36;14164642,13;511880942,4;77856754,15;997271776,3;8615989163;11189833359;1674221937;2614673,83;475155,97;8507358,75;1767386691;9679305506;80925619,65;15986628891;4345340,66;17619939095;;70000296507,08;;;
"PecAgu""""";11895455,82;824202,19;4773713,85;3143517,28;3852799,17;150679270,1;10995809,33;370014660,2;8631379,24;1788387,79;64316015,49;10844963,75;124532676,2;4896372250;990797959,5;98314775,94;333702,08;77354,27;878809,82;11100397508;1405269227;9888074,34;1,0519E+11;15262107,6;3187457234;;127661687653,45;;;
"PecDeFon""""";559677,92;37385,82;346639,47;206177,51;219433,42;7154111,4;1926399,59;9774226,3;1285279,92;211149,36;5369173,37;1584590,51;15575329,26;188296591,8;128584438,9;31421068,3;20089,79;4121,3;123130,98;97212246,8;101432530,9;626561,87;782992550,2;155710,9;606512582,5;;1981631198,04;;;
"PelaMen""""";49127177,32;4500374,27;34614864,05;31218422,63;15359498,47;1035172861;290725804,4;5012967059;171552113,3;22324288,6;363851169,4;131610001,5;442688228,5;38273055644;4128465594;421459161,6;1261247,23;430397,74;3343995,45;93521367445;5018637751;44853777,91;7,9876E+11;116439795,2;4,08719E+11;;1356613961648,31;;;
"Poeci""""";372992,99;22946,12;154591,43;101302,01;123130,98;3588354,31;439404,91;2127997,1;300143,86;64046,95;2195021,37;397490,96;4580885,48;39315252,9;39267761,89;5434000,44;10906,48;1973,6;34240,29;10194268,22;46083529,88;313000,88;88171552,51;20472,81;88488716,52;;331803984,90;;;
"ProdPrimBen""""";777644474,9;52556589,9;343565723;236316363,6;246336146,4;7815875758;1706398347;7756076525;1083527329;174465226;5220879588;1120359663;12657553354;1,39481E+11;1,38683E+11;29007437972;22910331,14;4426716,05;111917144;52563271391;89555670048;758707078,3;4,3006E+11;97790480,13;3,73024E+11;;1292561893701,13;;;
"Sciae""""";2216523,63;144785,94;2123481,85;1091710,18;1199309,84;41055516,67;12745131,23;66991605,43;8839809,95;1477707,35;33413126,77;12077377,68;109883234,1;1362171670;710430186,2;198788795,2;106669,91;23308,14;799270,69;731447384,4;686156889,7;3061858,71;5727396675;1119643,73;4965679179;;14680440851,55;;;
"Zoopl""""";4581917340;517332495,7;7016849528;7633150997;1342272943;1,35489E+11;90163153543;8,71375E+11;49133871960;5961847664;60643945715;34395148404;14756888207;1,74E+12;3,04717E+11;3755290471;102028504,9;41644180,95;151151232,9;3,42177E+12;3,03572E+11;4362767150;8,25321E+11;530047105,9;1,41483E+14;;149370263924291,00;;;
