TI3;"ProdPrim""""";"Zoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scall""""";"Lobs""""";"Sdemers""""";"Pil""""";"Cepha""""";"CarnZoopl""""";"Sgado""""";"Mull""""";"Sole""""";"Gurna""""";"Whit""""";"Cod""""";"RayDogFish""""";"Poll""""";"JohnDo""""";"Sande""""";"Herr""""";"Sprat""""";"Mack""""";"Scad""""";"BaskSha""""";"Bird""""";"Jbass""""";"Jplai""""";"Jwhit""""";"DepoFeed""""";"Whelk""""";"Plai""""";"Dab""""";"OFlatFish""""";"LBottFish""""";"Bream""""";"Bass""""";"Jcod""""";"Crab""""";"CommCrab""""";"Hake""""";"Seal""""";"ToothCet""""";"OvWint""""";"Sha""""";"Jsole""""";;SUM
"BaskSha""""";0;0,02;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,1
"Bird""""";0,01;0,03;0,01;0,01;0;0;0,01;0,01;0,01;0,06;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,04;0,04;0,05;0,03;0,01;0,02;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,05;0,02;0,01;;0,76
"Jbass""""";0;0,02;0;0,02;0;0;0,01;0,01;0,01;0;0;0,01;0;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0;0,01;0,01;0,02;0,01;0;0;0;0;0;0;;0,33
"Jplai""""";0,01;0,02;0,01;0,03;0,01;0,03;0,01;0,01;0,02;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0;0;;0,49
"Jwhit""""";0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,03;0,03;0,03;0,01;0,02;0,02;0,04;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,03;0,01;0,02;0,02;0,03;0,02;0,05;0,01;0,01;0,01;0,01;0,01;;0,89
"DepoFeed""""";0,04;0,04;0,07;0,06;0,07;0,04;0,04;0,09;0,06;0,03;0,05;0,04;0,06;0,08;0,1;0,09;0,05;0,06;0,05;0,07;0,03;0,07;0,04;0,07;0,1;0,06;0,03;0,07;0,12;0,09;0,06;0,05;0,09;0,09;0,08;0,09;0,06;0,08;0,11;0,09;0,04;0,03;0,03;0,04;0,03;0,03;0,02;0,03;;2,96
"Whelk""""";0,02;0,01;0,01;0,03;0,04;0,04;0,01;0,07;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0,01;0;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,03;0,02;0;0;0;0;0;0;;0,58
"Plai""""";0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,02;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,04;0,01;0,01;0,01;0,01;;0,48
"Dab""""";0,01;0,01;0,04;0,03;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,03;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0;0;;0,62
"OFlatFish""""";0,01;0,01;0,04;0,01;0,04;0,03;0,01;0,02;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0,01;0;0;0,01;0;0;0;0,01;0,01;0,02;0,02;0,01;0,01;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0;;0,58
"LBottFish""""";0,02;0,02;0,02;0,04;0,02;0,04;0,01;0,02;0,04;0,02;0,05;0,01;0,05;0,07;0,02;0,08;0,05;0,05;0,03;0,06;0,02;0,02;0,05;0,02;0,02;0,03;0,01;0,02;0,02;0,03;0,06;0,04;0,02;0,03;0,07;0,07;0,04;0,02;0,03;0,09;0,04;0,03;0,06;0,07;0,03;0,07;0,04;0,03;;1,8
"Bream""""";0,01;0,01;0,04;0,01;0,04;0,03;0,01;0,02;0,02;0,01;0,03;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,03;0,01;0,01;0,01;0,01;0;0,01;0,04;0,01;0,01;0,02;;0,6
"Bass""""";0;0,01;0;0,02;0,01;0,01;0;0,01;0,02;0;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,04;0,01;0;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0,01;0,01;0,02;0,01;0,02;0,01;0;0,01;0;0;0;0;;0,41
"Jcod""""";0,01;0,01;0,01;0,03;0,01;0,01;0;0;0,02;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0;;0,46
"Crab""""";0,02;0,03;0,02;0,05;0,03;0,05;0,01;0,08;0,04;0,03;0,04;0,02;0,05;0,08;0,02;0,08;0,05;0,05;0,04;0,02;0,03;0,03;0,05;0,02;0,02;0,05;0,02;0,06;0,11;0,03;0,06;0,03;0,08;0,08;0,03;0,02;0,05;0,02;0,1;0,03;0,05;0,1;0,06;0,03;0,02;0,03;0,02;0,03;;2,08
"CommCrab""""";0,01;0;0;0,02;0,01;0,03;0;0,01;0,01;0;0;0;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0;0;0,01;0,01;0;0;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0;0;0;0;0;;0,39
"Hake""""";0,01;0,02;0,01;0,01;0,01;0,01;0;0,01;0,01;0,06;0,01;0,01;0,04;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,11;0,01;0,01;0,06;0,02;0,04;0,01;0,02;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,01;0,04;0,01;0,02;0,06;0,03;0,01;;0,95
"Seal""""";0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,03;0,01;0,04;0,02;0,02;0,01;0,01;0,01;0,03;0,04;0,01;0,05;0,01;0,05;0,02;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,07;0,01;0,06;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,02;0,06;0,04;0,03;;0,92
"ToothCet""""";0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,06;0,04;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,05;0,02;0,01;0,04;0,05;0,03;0,04;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,06;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,06;0,04;0,03;;0,94
"OvWint""""";0,01;0,01;0,01;0;0;0,01;0;0;0,01;0,02;0,04;0,01;0,01;0,01;0;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0;0,05;0;0;0,01;0,01;0;0,01;0,01;0,01;0,03;0,01;0;0,01;0,01;0,01;0,05;0,05;0,05;0,05;0,21;0,04;;0,89
"Sha""""";0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,05;0,03;0,02;;0,22
"Jsole""""";0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,02;;0,1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"ProdPrim""""";"Zoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scall""""";"Lobs""""";"Sdemers""""";"Pil""""";"Cepha""""";"CarnZoopl""""";"Sgado""""";"Mull""""";"Sole""""";"Gurna""""";"Whit""""";"Cod""""";"RayDogFish""""";"Poll""""";"JohnDo""""";"Sande""""";"Herr""""";"Sprat""""";"Mack""""";"Scad""""";"BaskSha""""";"Bird""""";"Jbass""""";"Jplai""""";"Jwhit""""";"DepoFeed""""";"Whelk""""";"Plai""""";"Dab""""";"OFlatFish""""";"LBottFish""""";"Bream""""";"Bass""""";"Jcod""""";"Crab""""";"CommCrab""""";"Hake""""";"Seal""""";"ToothCet""""";"OvWint""""";"Sha""""";"Jsole""""";;SUM
"ProdPrim""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SuspFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ShriPrawn""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Echino""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bivalv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Scall""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lobs""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sdemers""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Pil""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CarnZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sgado""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mull""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Gurna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Whit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"RayDogFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Poll""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"JohnDo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sande""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Herr""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sprat""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Scad""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BaskSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jbass""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jplai""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jwhit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DepoFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Whelk""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Plai""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
