"TI3";""MarMam"";""Acod"";""Jcod"";""Hadd"";""Saithe"";""RedFish"";""OFlatFish"";""OdemFish"";""Cape"";""Opel"";""NorthShri"";""Benth"";""Nekt"";""Zoopl"";""Bird"";""Herr"";""GreenHal"";""Phyto"";""Mollu"";""Neph"";;SUM
""NorthShri"";"0,06";"0,06";"0,07";"0,07";"0,03";"0,06";"0,06";"0,07";"0,04";"0,03";"0,04";"0,06";"0,03";"0,05";"0,02";"0,03";"0,07";"0,07";"0,03";"0,04";;"1,00"
""Benth"";"0,07";"0,07";"0,08";"0,08";"0,07";"0,07";"0,07";"0,08";"0,05";"0,05";"0,08";"0,06";"0,07";"0,05";"0,09";"0,05";"0,08";"0,09";"0,13";"0,16";;"1,52"
""Nekt"";"0,07";"0,07";"0,07";"0,08";"0,08";"0,07";"0,08";"0,08";"0,08";"0,09";"0,05";"0,07";"0,06";"0,07";"0,11";"0,10";"0,08";"0,05";"0,13";"0,04";;"1,54"
""Zoopl"";"0,08";"0,08";"0,08";"0,08";"0,08";"0,08";"0,08";"0,09";"0,08";"0,09";"0,08";"0,06";"0,08";"0,07";"0,11";"0,11";"0,09";"0,11";"0,13";"0,16";;"1,83"
""Bird"";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,04";"0,06";"0,01";"0,04";"0,04";"0,04";"0,04";"0,08";"0,02";"0,03";"0,02";"0,02";;"0,57"
""Herr"";"0,02";"0,04";"0,02";"0,02";"0,04";"0,02";"0,02";"0,02";"0,02";"0,03";"0,01";"0,02";"0,04";"0,04";"0,08";"0,04";"0,02";"0,06";"0,02";"0,03";;"0,58"
""GreenHal"";"0,03";"0,05";"0,05";"0,03";"0,03";"0,05";"0,03";"0,03";"0,05";"0,06";"0,06";"0,05";"0,05";"0,04";"0,03";"0,03";"0,04";"0,03";"0,03";"0,03";;"0,80"
""Phyto"";"0,02";"0,02";"0,05";"0,02";"0,03";"0,02";"0,02";"0,02";"0,05";"0,06";"0,05";"0,05";"0,02";"0,05";"0,03";"0,08";"0,03";"0,05";"0,02";"0,15";;"0,85"
""Mollu"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,05";"0,01";"0,01";"0,01";"0,03";"0,03";"0,03";"0,01";"0,01";"0,01";"0,01";"0,03";"0,02";;"0,36"
""Neph"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01";"0,03";"0,01";"0,01";"0,01";"0,06";"0,01";"0,03";;"0,29"


"WI3";""MarMam"";""Acod"";""Jcod"";""Hadd"";""Saithe"";""RedFish"";""OFlatFish"";""OdemFish"";""Cape"";""Opel"";""NorthShri"";""Benth"";""Nekt"";""Zoopl"";""Bird"";""Herr"";""GreenHal"";""Phyto"";""Mollu"";""Neph"";;SUM
""MarMam"";"58817242,64";"22144722,52";"226055804,65";"3653048,29";"5939702,00";"54399674,78";"11986613,37";"18046675,74";"1087498600,03";"4398012398,98";"327670942,64";"13315949706,50";"193828856,32";"204612566029,89";"6166191,50";"468772883,66";"4306636,21";"6677874051,32";"53442711,08";"2426828,44";;"231549559320,55"
""Acod"";"25551602,90";"6840385,84";"48940741,45";"1858490,29";"2035465,74";"31732110,35";"3540381,16";"5270534,90";"271073884,20";"972827279,37";"86092308,51";"2616628624,50";"104737212,49";"40182155092,64";"1678438,40";"116300024,38";"1206975,53";"4349437113,44";"25781754,85";"661838,16";;"48854350259,10"
""Jcod"";"208666896,60";"39152593,16";"122251428,07";"16083615,54";"13281740,27";"308026757,19";"15504153,51";"21988007,50";"1104890467,42";"2753305637,41";"389678019,49";"3721825436,06";"987013218,23";"57118640525,18";"7783484,17";"469915581,63";"5783941,50";"44547465211,50";"219324043,99";"3242801,71";;"112073823560,14"
""Hadd"";"2810037,14";"1238993,52";"13403012,95";"169219,46";"303120,21";"2181592,91";"707168,27";"1093442,53";"61955877,18";"256599505,31";"18575561,83";"795307399,77";"8031905,59";"12200479961,71";"328547,89";"26689916,87";"238607,70";"239224014,40";"2493183,63";"135502,80";;"13631966571,67"
""Saithe"";"5482801,84";"1628372,59";"13281740,27";"363744,25";"466019,71";"6343084,04";"760391,86";"1158010,37";"70061476,23";"263533218,80";"21637904,99";"745733744,65";"21611562,57";"11456677918,52";"400142,44";"30086701,17";"294961,63";"856354655,90";"5148860,51";"163822,40";;"13501189134,74"
""RedFish"";"58584265,15";"29616636,32";"359364550,05";"3054230,08";"7400264,72";"32128599,63";"17303918,72";"26023464,48";"1625960848,45";"6912378917,11";"479532579,26";"21827430339,04";"132506457,50";"335381048618,08";"8917042,14";"702469027,06";"6087018,04";"2657484144,42";"48173734,87";"3484329,32";;"370318948984,47"
""OFlatFish"";"10142519,01";"2596279,52";"14212140,72";"777885,10";"697025,87";"13595936,14";"1232863,83";"1998291,45";"84838229,22";"278543558,67";"28089289,74";"681417719,42";"45030835,58";"10386077295,89";"468404,97";"36063211,67";"402637,03";"1888889289,48";"10435600,09";"217443,91";;"13485726457,31"
""OdemFish"";"13882058,26";"3513689,93";"18323339,58";"1093442,53";"965008,64";"18588188,92";"1816628,59";"2870039,29";"110492808,60";"358264844,59";"36992100,14";"858742952,99";"61038042,50";"13093586192,57";"690956,19";"47052912,29";"552232,89";"2574988814,51";"14657229,13";"288160,78";;"17218399642,94"
""Cape"";"1003844861,57";"216859107,36";"1104890467,42";"74347052,61";"70061476,23";"1393680727,25";"92550795,51";"132591370,32";"7429529257,49";"23115558117,91";"2462851950,65";"51253562563,76";"4514528328,88";"787776848805,75";"48400324,07";"3179094733,65";"34935607,39";"198655398199,93";"1027808787,41";"19706050,02";;"1083607048585,18"
""Opel"";"3044777814,68";"583696367,62";"2064979228,06";"230939554,78";"197649914,10";"4443672161,00";"227899275,28";"322438360,13";"17336668588,43";"45827758448,98";"6006031429,79";"73230409526,02";"14279428268,33";"1125682782141,28";"118946631,97";"7387081415,69";"88252605,20";"641821224882,60";"3167190911,38";"49574200,68";;"1946111401726,01"
""NorthShri"";"277260028,38";"63134359,58";"357204851,20";"20433118,01";"19834746,24";"376775597,99";"28089289,74";"40691310,16";"2257614288,10";"7340705080,85";"739442841,35";"17405432437,33";"1224732428,53";"267350754239,40";"14306778,39";"966791584,73";"10337974,51";"53326374176,40";"282829718,53";"5850396,06";;"352108595245,49"
""Benth"";"15364557353,65";"2616628624,50";"4652281795,08";"1192961099,65";"932167180,81";"23386532506,12";"929205981,03";"1288114429,48";"64066953204,70";"122050682543,37";"23734680596,36";"43650101,16";"74588150823,94";"1831786618,00";"481294398,84";"27123216683,61";"366350726,84";"3412619487082,33";"16239132119,12";"204433352,29";;"3793712267220,87"
""Nekt"";"238558592,39";"111719693,32";"1316017624,30";"12851048,95";"28815416,75";"151435951,43";"65499397,21";"97660868,00";"6019371105,17";"25385650254,81";"1781428986,95";"79560694212,20";"587613268,83";"1222698487431,51";"33638128,16";"2602316923,54";"23032232,07";"14659132037,11";"203043963,62";"13001373,07";;"1355589968509,42"
""Zoopl"";"283309706810,62";"48218586111,16";"85677960787,78";"21960863931,07";"17185016877,78";"431204205366,10";"16995399211,45";"23568455146,63";"1181665273208,63";"2251365564282,57";"437483052391,75";"2198143941,60";"1375535798360,45";"55652875861,31";"8832935626,44";"500264171202,76";"6752090665,44";"62933733452656,60";"299102465439,41";"3767895983,45";;"69984473913863,00"
""Bird"";"2845934,54";"671375,36";"3891742,09";"197128,73";"200071,22";"3821589,49";"255493,62";"414573,71";"24200162,03";"79297754,65";"7803697,30";"192517759,54";"12614298,06";"2944311875,48";"114048,85";"10295977,70";"108083,69";"541036190,41";"2742318,24";"60577,23";;"3827400651,94"
""Herr"";"216356715,53";"46520009,75";"234957790,82";"16013950,12";"15043350,59";"301058154,46";"19670842,73";"28231747,38";"1589547366,83";"4924720943,80";"527340864,40";"10849286673,44";"975868846,33";"166754723734,25";"10295977,70";"679982450,44";"7481453,77";"42943227252,03";"221373553,37";"4222607,56";;"230365924285,27"
""GreenHal"";"2981517,38";"724185,32";"4337956,12";"214746,93";"221221,22";"3913083,03";"329430,30";"497009,60";"26201705,54";"88252605,20";"8458342,78";"219810436,10";"12955630,54";"3376045332,72";"162125,54";"11222180,65";"123763,07";"547749626,87";"2986915,86";"66114,60";;"4307253929,38"
""Phyto"";"4109460954,66";"2319699793,84";"29698310141,00";"191379211,52";"570903103,93";"1518562368,24";"1373737665,08";"2059991051,61";"132436932133,28";"570507755451,20";"38782817582,84";"1820063726443,91";"7329566018,55";"27970548201180,70";"721381587,22";"57257636336,04";"486888557,22";"55053858668,15";"3174534279,24";"280448739,44";;"30698485791267,70"
""Mollu"";"16443911,10";"6875134,63";"73108014,66";"997273,45";"1716286,84";"13763924,25";"3794763,67";"5862891,65";"342602929,14";"1407640405,06";"102847170,37";"4330435231,77";"50760990,91";"66467214542,09";"1828212,16";"147582368,91";"1327518,16";"1587267139,62";"14653203,83";"754152,99";;"74577476065,25"
""Neph"";"560037,33";"132367,63";"810700,43";"40650,84";"40955,60";"746642,00";"59302,88";"86448,24";"4926512,50";"16524733,56";"1595562,56";"40886670,46";"2437757,45";"627982663,91";"30288,61";"2111303,78";"22038,20";"105168277,29";"565614,74";"12521,10";;"804741049,12"

