TI3;"TranOrc""""";"SSLpup""""";"SSLjuv""""";"SSLad""""";"Smamm""""";"ToothWhale""""";"Sal""""";"Spela""""";"AtkaMack""""";"Herr""""";"Apoll""""";"DemSM""""";"Mycto""""";"BenthInv""""";"Cephalo""""";"Lzoopl""""";"Szoopl""""";"BalWhale""""";"ShaMeater""""";"Sandl""""";"Jpoll""""";"RockFish""""";"PacCod""""";"ShaSkate""""";"ArrToo""""";"FlatFish""""";"Lpred""""";"SabFish""""";"Shri""""";"EpiCarn""""";"Otter""""";"Bird""""";"Lpela""""";"DeepL""""";"Halib""""";"Macroph""""";"POP""""";"Phyto""""";;SUM;;
"FlatFish""""";0,02;0,02;0,04;0,04;0,04;0,02;0,02;0,02;0,04;0,02;0,04;0,03;0,04;0,04;0,03;0,03;0,04;0,02;0,02;0,05;0,02;0,02;0,04;0,03;0,02;0,03;0,02;0,02;0,04;0,04;0,03;0,02;0,02;0,06;0,05;0,02;0,06;0,02;;1,18;;
"Halib""""";0,01;0;0,02;0,02;0,02;0,01;0,01;0,01;0,03;0,01;0,03;0,03;0,03;0,03;0,03;0,02;0,01;0,02;0,02;0,04;0,04;0,02;0,03;0,03;0,02;0,04;0,04;0,06;0,04;0,04;0,03;0,02;0,01;0,05;0,03;0,02;0,02;0,01;;0,96;;
"Herr""""";0,01;0;0,01;0,01;0,03;0,04;0,02;0,02;0,01;0,03;0,01;0,02;0,01;0,01;0,01;0,03;0,03;0,04;0,02;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,07;0,01;0,01;0,01;0,01;0,02;;0,68;;
"Jpoll""""";0,02;0,02;0,04;0,04;0,04;0,02;0,02;0,02;0,04;0,02;0,04;0,04;0,04;0,03;0,02;0,03;0,04;0,04;0,02;0,02;0,03;0,04;0,02;0,03;0,04;0,02;0,04;0,02;0,04;0,04;0,02;0,05;0,02;0,02;0,04;0,02;0,02;0,02;;1,17;;
"Lpela""""";0;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0,01;0,02;;0,39;;
"Lpred""""";0,02;0,01;0,04;0,04;0,02;0,02;0,02;0,02;0,03;0,01;0,02;0,03;0,03;0,03;0,03;0,03;0,01;0,02;0,05;0,02;0,04;0,02;0,03;0,03;0,04;0,02;0,03;0,02;0,04;0,04;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,01;;0,96;;
"Lzoopl""""";0,01;0;0,03;0,03;0,03;0,06;0,06;0,06;0,04;0,07;0,04;0,04;0,04;0,03;0,04;0,04;0,06;0,06;0,03;0,05;0,05;0,05;0,04;0,04;0,05;0,04;0,05;0,07;0,05;0,05;0,03;0,06;0,09;0,03;0,03;0,03;0,06;0,21;;1,85;;
"Macroph""""";0;0;0,01;0,01;0,01;0,01;0,04;0,04;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0;;0,45;;
"Mycto""""";0,02;0,02;0,05;0,05;0,04;0,05;0,03;0,03;0,04;0,03;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,02;0,03;0,03;0,04;0,04;0,04;0,04;0,04;0,05;0,05;0,03;0,03;0,03;0,02;0,05;0,02;0,06;0,05;0,07;0,06;0,03;;1,46;;
"Otter""""";0;0;0;0,01;0,01;0,01;0;0;0,02;0;0,01;0,02;0,01;0,02;0,01;0,01;0;0,01;0;0,03;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0;0;0,01;0,01;0;0;;0,30;;
"PacCod""""";0,02;0,02;0,05;0,05;0,05;0,03;0,03;0,06;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,05;0,03;0,05;0,03;0,03;0,03;0,04;0,05;0,05;0,05;0,07;0,05;0,05;0,03;0,05;0,02;0,06;0,05;0,03;0,07;0,03;;1,59;;
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0,02;;0,13;;
"POP""""";0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,02;0,02;;0,54;;
"RockFish""""";0,02;0,02;0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,04;0,05;0,04;0,04;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;1,00;;
"SabFish""""";0,01;0;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;;0,47;;
"Sal""""";0,02;0,02;0,03;0,03;0,03;0,04;0,03;0,02;0,01;0,02;0,01;0,01;0,02;0,01;0,03;0,03;0,03;0,04;0,04;0,02;0,01;0,02;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,02;0,01;0,01;0,06;0,01;0,02;;0,82;;
"Sandl""""";0,01;0,01;0,01;0,04;0,03;0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,02;0,03;0,03;0,01;0,04;0,01;0,03;0,02;0,04;0,03;0,03;0,01;0,03;0,01;0,02;0,01;0,02;0,08;0,04;0,01;0,01;0,03;0,06;0,01;0,01;;0,88;;
"ShaMeater""""";0,01;0,01;0,04;0,02;0,01;0,01;0,04;0,01;0,01;0,02;0,03;0,03;0,01;0,01;0,03;0,01;0,01;0,04;0,03;0,01;0,01;0,03;0,01;0,03;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,07;0,04;0,01;0,01;0,01;0,01;;0,78;;
"ShaSkate""""";0,02;0,01;0,05;0,05;0,03;0,03;0,05;0,05;0,04;0,06;0,05;0,04;0,04;0,04;0,04;0,04;0,05;0,03;0,06;0,05;0,05;0,05;0,04;0,03;0,05;0,05;0,05;0,07;0,05;0,05;0,03;0,03;0,03;0,06;0,05;0,03;0,03;0,03;;1,65;;
"Shri""""";0,01;0;0,02;0,02;0,04;0,02;0,01;0,02;0,04;0,02;0,04;0,03;0,02;0,04;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,03;0,03;0,04;0,02;0,02;0,02;0,06;0,05;0,02;0,06;0,02;;1,08;;
"Smamm""""";0,12;0,08;0,02;0,03;0,03;0,02;0,04;0,05;0,03;0,05;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,05;0,04;0,04;0,03;0,02;0,02;0,04;0,02;0,06;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,01;;1,28;;
"Spela""""";0,01;0;0,01;0,01;0,03;0,04;0,02;0,02;0,01;0,02;0,01;0,03;0,01;0,01;0,02;0,03;0,01;0,04;0,01;0,02;0,01;0,01;0,03;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,06;0,01;0,01;;0,71;;
"SSLad""""";0,12;0,08;0,03;0,03;0,02;0,02;0,04;0,02;0,03;0,01;0,03;0,03;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,04;0,03;0,04;0,03;0,03;0,03;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,01;;1,05;;
"SSLjuv""""";0,12;0,08;0,03;0,03;0,02;0,02;0,04;0,01;0,03;0,01;0,03;0,03;0,03;0,02;0,03;0,02;0,02;0,02;0,05;0,01;0,03;0,04;0,03;0,03;0,04;0,03;0,04;0,02;0,02;0,02;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;;1,05;;
"SSLpup""""";0,11;0,08;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,22;;
"Szoopl""""";0,01;0;0,02;0,02;0,02;0,05;0,05;0,02;0,03;0,06;0,04;0,02;0,03;0,02;0,02;0,04;0,04;0,05;0,02;0,02;0,04;0,04;0,03;0,03;0,02;0,04;0,02;0,02;0,02;0,04;0,02;0,05;0,08;0,02;0,02;0,02;0,06;0,2;;1,33;;
"ToothWhale""""";0,01;0;0,01;0,01;0,01;0,02;0,04;0,04;0,03;0,05;0,03;0,03;0,03;0,02;0,02;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,02;0,01;0,02;;0,69;;
"TranOrc""""";0,1;0,43;0,03;0,03;0,03;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,72;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"TranOrc""""";"SSLpup""""";"SSLjuv""""";"SSLad""""";"Smamm""""";"ToothWhale""""";"Sal""""";"Spela""""";"AtkaMack""""";"Herr""""";"Apoll""""";"DemSM""""";"Mycto""""";"BenthInv""""";"Cephalo""""";"Lzoopl""""";"Szoopl""""";"BalWhale""""";"ShaMeater""""";"Sandl""""";"Jpoll""""";"RockFish""""";"PacCod""""";"ShaSkate""""";"ArrToo""""";"FlatFish""""";"Lpred""""";"SabFish""""";"Shri""""";"EpiCarn""""";"Otter""""";"Bird""""";"Lpela""""";"DeepL""""";"Halib""""";"Macroph""""";"POP""""";"Phyto""""";;SUM;;
"Apoll""""";1948,86;1,36;1497613,62;5715697,05;542532,96;249767,56;53202209,58;165897840,7;189877282,4;54699140,8;86853378,36;19436592,28;233695292,6;77603411,56;43616097,07;96023289761;7,05094E+11;10345603,88;14510,95;40052701,74;32342484,18;6684275,83;5597662,2;2393102,34;2299319,16;10876655,37;40857807,96;41111667,12;81895856,47;87726858,18;746799,38;321930,16;121613,74;2224850,09;727026,75;35845737,03;21913703,78;1,14215E+11;;916689954466,99;thresold:;20846641,543
"ArrToo""""";253,44;0,71;31196,89;106235,13;15073,27;8329,55;1539090,26;4943166,64;4455094,39;1574034,07;2080336,38;1359001,14;6757602,47;2424262,07;1449552,2;254077849,1;1765001127;238386,03;684,77;1193284,99;761336,48;201510,2;172022,62;88731,66;49079,84;474117,55;1248538,82;1216085,72;3989330,58;5787595,08;109924,64;7041,44;3350,93;80596,13;21946,68;1973560,36;432331,72;2202824724;;4266696385,00;;20846641,54
"AtkaMack""""";896,73;24,66;3769479,12;14730018,91;1075082,21;464102,9;135529753,4;479460556,7;420933000,4;156867236,4;207960833,1;47487300,01;652923629,1;131754037,1;115562835,6;3,27998E+11;2,4213E+12;24386206,53;23148,45;115833429,8;72192244,31;15139500,31;11439084,37;5492133,97;5393009;24519718,82;113240732,5;119846355,3;231051062,9;226236155,4;1533332,91;662436,84;293974,86;3770829,95;1446455,18;70339537,71;42804862,51;2,20739E+11;;2973493341595,73;;
"BalWhale""""";176,51;0;112192,35;443824,99;39338,21;19304,08;4201188,81;13602231,91;14843777,89;4480657,81;6897069,26;1286062,61;18992209,88;3433614,91;3306012,81;8651824888;63640107014;817110,83;995,85;3284999,2;2521949,03;493970,78;349979,71;168376,16;175652,86;789781,45;3150723,39;3388083,57;6421177,92;6493735,27;34415,58;25174,52;9649,11;124981,57;45956,79;2332778,25;1689028,57;8797793512;;81193701596,56;;
"BenthInv""""";7017,11;0,02;2625127,34;7660438,03;1219280,22;895119,92;55442866,29;180063854,8;137482473,5;53745975,39;88689613,21;322311960,1;246879865;99046900,95;143602013;166006388,4;1011586123;5886196,99;59297,26;43161520,26;29990204,11;18575626,75;19218879,4;11564084,33;3062225,77;93279567,51;69639629,45;45980702,89;680470112;1348310196;35091132,56;444152,79;218947,43;8404411,72;1594217,7;519804027;6563782,27;23139311813;;28597895743,51;;
"Bird""""";14,94;0;3357,16;12625,53;1366,94;786,32;172940,35;570602,31;345619,22;175586,06;183960,09;78999,94;733482,49;222076,4;142539,18;79709216,64;587486994,4;21578,16;52,63;137770,52;58618,86;14726,46;11912,9;6679,95;4447,23;28885,76;132851,28;137595,04;309101,68;357301,66;4264,16;729,29;285,85;4485,98;1973,56;107640,65;25210,6;124924193,2;;796130473,38;;
"Cephalo""""";3162,89;5,32;1714578,29;5684916,61;758307,11;398028,29;32155520,26;52532734,14;150734133,4;17493063,33;62308710,11;43529299,36;86982090,78;179502516,2;37242747,85;21045848219;1,47471E+11;7084313,15;26953,81;12501472,52;26460422,5;7183390,28;9817317,82;3276003,65;2288766,63;17728719,33;24981188;11896106,95;80516334,47;159536782,4;4066956,62;356347,96;89498,74;4813928,41;1229384,98;91528266,56;20924469,56;1,09831E+11;;279505105366,17;;
"DeepL""""";66,51;0;41258,23;120152,39;13820,65;6002,34;833385,3;3042311,84;1803440,41;954432,53;1165397,67;3037542,18;4087255,49;3852022,04;1765107,08;1430241,14;18145546,44;98199,8;630,25;733367,49;376070,41;217512,15;276931,1;128775,29;46660,92;877163,53;1145586,4;767607,86;6586598,35;12014312,69;311541,03;4112,15;2398,99;126887,74;26678,36;4710451,59;70802,32;241802298,7;;310622569,40;;
"DemSM""""";359,53;11,97;1768708,61;4970388,23;647275,16;272332,55;20286987,49;25486465,85;51616630,44;6972650,14;23138800,33;40371862,55;33400421,89;335741625,1;36274416,13;6313094039;43878806549;2296540,37;26215,94;5880682,42;10221552,72;5847411,13;13116700,3;3404511,46;1788159,4;13454409,08;29046034,99;4196686,88;48844477,39;103927957;3586421,9;164583,2;33352,02;6903504,96;1692833,16;75440482,69;6079058,02;31219278735;;82328079834,29;;
"EpiCarn""""";2467,6;0,02;5191864,19;14992766,34;1880863,13;749195,08;60733568,87;72918820,17;177054382,5;21064740,28;75194449,87;74828129,05;99870372,85;1011232647;95722069,45;43240455658;3,0974E+11;8349088,2;70693,42;16876139,82;33280234,95;16021935,85;37338319,25;8890113,98;5482984,82;28420967,34;83629850,14;11741780,34;52576845,74;114194193,2;5280992,08;535952,49;90992,93;19659784,39;5002161,84;161354592;22935457,39;1,20099E+11;;475421978997,42;;
"FlatFish""""";170,25;1,96;419425,82;1231879,97;155064,55;64380,38;8623227,65;21575111,85;20255419,9;6604079,33;9840783,43;10225350,9;28398292,36;73846324,28;11228188,91;4021152994;29151196207;1071846,26;6172,99;5161921,2;3727191,84;1603946,76;2950266,96;864887,48;474117,55;3453004,83;9731153,57;4894203,64;18599487,43;29999909,97;816439,13;45735,78;14729,71;1515100,64;384768,04;17442804,31;1922594,48;9727026779;;43196523963,06;;
"Halib""""";132,38;0;16449,92;55964,64;6683,38;4050,16;407138,25;1262275,21;1006229,69;384791,73;553925,14;1083413,23;1695598,02;1062811,8;655671,99;3156930,32;7353863,19;52522,05;287,65;303828,89;189545,45;81902,13;92779,53;46992,08;18481,41;324015,19;417734,76;310874,51;2399961,98;4446366,08;109976,64;2631,41;1068,88;38804,89;10627,32;1729603,34;73533,09;344817471,2;;374174937,50;;
"Herr""""";167,88;0,1;507902,27;1962282,82;225631,37;104710,3;8304193,61;5445203,46;68203146,26;3003580,64;26047209,91;2789060,06;19002613,61;22394156,41;5831021,11;14919018741;1,06031E+11;3200469,86;5063,64;1290759,51;11617679,71;2011250,35;2005085,37;596006,15;828438,99;3475831,23;2918808,36;1307287,74;4091949,31;11702633,49;179822,68;146321,72;32341,46;867665,94;240494,83;15965160,67;10842197,71;57693898072;;178881140986,69;;
"Jpoll""""";357,51;0,56;522398,34;2004689,3;156150,36;68275,17;19210652,1;67515480;59637071,39;22073591,45;29262247,59;7768380,06;91958671,46;23742244,92;16758267,59;45690027692;3,37257E+11;3422645,11;3732,89;16307831,62;10238866,25;2230862,76;1785371,78;830618,8;761336,48;3727191,84;16327189,35;16859456,02;34067765,42;35129136,89;317343,43;92813,19;41804,71;649576,17;225085,22;11414171,68;6051261,88;31188168813;;414636826991,79;;
"Lpela""""";0,19;0;757,83;2781,96;257,13;109,57;20139,41;58256,26;76689,09;19404,88;34746,78;8004,48;83335,31;54736,86;17899,75;42070786,09;308785138,9;4135,33;6,49;14042,81;13201,49;2872,09;3111,4;1079,22;1058,19;4651,49;16368,09;14324,41;27785,92;30330,98;329,59;142,93;46,94;1308,54;400,83;17531,69;9327,98;48804788,08;;400199888,96;;
"Lpred""""";995,92;3,24;723530,73;2573809,16;325372,26;166644,59;11594037,95;11378858,68;78776161,76;4670093,37;31129758,45;18589462,4;27709651,28;46426419,63;13323300,27;12699605734;89160477029;3600826,73;9869,77;2685832,09;13749212,08;3159445,53;3632058,82;1282029,22;1051401,11;8194655,64;6816823,69;2660409,43;34262841,61;74337644,57;1885491,76;177135,03;43648,24;1666307,5;417734,76;42057835,61;11911850,6;62897042638;;165218116553,61;;
"Lzoopl""""";13653,31;0;19039122,17;77786397,15;3273132,17;89229541,47;58565305052;98485050818;3,7078E+11;38789448725;1,18886E+11;6565617800;1,85462E+11;179840254,1;18239735123;5,90069E+12;2,24942E+13;16067674792;68739,21;23818769413;62523195789;9263551268;308727535,4;846469052,5;347685477,8;5502630412;20636859317;24731080663;44401384630;62458435950;11245202,29;172703302,7;182306739,7;3380569,97;5130011,77;191329663,9;56280876472;3,00655E+14;;330274062923751,00;;
"Macroph""""";1227,39;0;709890,96;1919446,95;279408,29;131046,82;17103383,92;39883072,52;21407685,39;11175612,47;11948579,01;21123335,15;47661942,02;151609507,9;21356595,53;51511832,58;204763434,2;1166389,13;12907,5;9517063,61;4205221,15;2750925,75;5650184,22;1654107,55;727101,19;6426296,33;18400303,08;8519616,32;36682419,19;62749008;1759341,93;62790,38;20453,64;2997560,1;756701,46;33643847,2;928957,58;3977732646;;4778949842,72;;
"Mycto""""";721,37;0,94;5162656,74;19809094,45;2199374,8;1035106,73;89430287,39;100996357;652923629,1;43706011,31;255951987,1;30728388,14;239803002,8;236593203,9;66686269,6;1,64062E+11;1,17433E+12;31201487,65;50699,06;24153446,4;111318391,8;19746956,44;19964557,31;6113537,95;8180255,62;34376880,22;39832623,71;24580480,91;60486455,62;127612143,1;1806029,06;1405841,44;319452,01;8546079,65;2437422,16;156603523,8;101133001,3;5,37281E+11;;1878198139081,33;;
"Otter""""";65,31;0;29885,03;76956,02;10863,07;4186,57;320082,17;395547,69;333333,24;89911,34;177809,38;717284,38;392615,01;7310652,62;677826,1;2162538,9;1241621,92;12291,28;469,36;90398,73;83511,43;100336,68;260584,25;63738,26;28927,54;214852,4;589216,18;52959,98;685784,97;1466942,24;58387,43;1776,73;274,65;141609,56;34367,7;1256672,81;12713,43;48839066;;67936060,38;;
"PacCod""""";1429,86;4,42;188256,36;562656,36;76419,99;41633,67;4925886,99;16099900,17;12433787,36;5012713,42;6663883,57;13116700,3;21700605,77;20019666,04;8181098,18;296853399,5;2029354692;624963,77;3678,35;3875642,57;2349173,39;1080047,15;1319555,4;605126,28;226345,56;3881930,21;5675091,9;3989264,02;28728524,33;51858776,73;1302921,24;24818,54;12964,18;629388,85;144968,02;20179229,35;874350,87;4072718106;;6635337601,22;;
"Phyto""""";0;0;159762744,5;653411561,2;30154838,05;11823867,31;8695133263;35905169972;19194685037;11538779614;10877651681;2497542299;46720044541;1928275984;7322074687;2,31273E+13;1,71556E+14;1256827645;445801,94;8682577969;3282965138;719675174,3;325817448,5;265098729,7;231876286,7;1023897556;7862130330;9013307362;16230975961;13344280445;19535626,4;20820698,87;16268262,69;43964054,31;43102183,89;1136495042;1208042491;5,90428E+12;;200798317886032,00;;
"POP""""";6,44;0;141026,09;571861,02;28312,32;11263,1;7431361,07;30349232,93;16749728,81;9757977,94;9391587,33;2188460,89;39573783,13;2461418,35;6277340,87;19481841856;1,44476E+11;1085804,08;469,31;7338353,87;2866387,21;631843,78;314766,31;234200,56;204788,71;910702,65;6700415,96;7612670,07;13772363,56;11467728,69;22884,17;18907,95;13991,96;57929,17;41362,36;1194374,04;1105001,66;5436191212;;169574874764,62;;
"RockFish""""";8,74;1,03;132446,97;444034,91;44826,96;19815,95;3244476,14;9899488,51;10531826,3;3218000,56;5092781,59;3742343,12;13737013,17;12383751,17;3831141,48;5700646934;41924433212;564538,04;1496,01;2383192,12;1878621,27;556751,23;691230,18;259046,82;169692,8;1350692,01;3159445,53;2431625,53;9141896,34;14241720,75;321077,38;19635,28;7658,9;316381,31;81902,13;6287830,28;1123277,83;5757401394;;53493791208,72;;
"SabFish""""";35,72;0,01;319920,33;1227730,53;143045,33;66067,68;4679719,09;821842,62;41685688,79;1045830,19;15661587,47;1342939,8;8549732,49;15326900,96;3172295,19;7609563281;53510378429;1936047,75;3254,68;181247,03;7098718,32;1215812,76;1276564,49;357797,53;512036,09;2060717,32;1330204,71;151582,52;794813;5218569,04;84735,97;91730,02;19099,22;558260,27;155437,26;9736704,37;6766817,84;36053229446;;97306764642,21;;
"Sal""""";97,6;6,87;702281,95;2619693,83;271584,28;152035,72;12755720,21;28069562,84;70711175,7;9965032,33;30401262,62;9737754;46659280,38;27721433,14;12862208,1;27030140793;1,9654E+11;3601018,98;6982,85;6756278,86;12133043,43;2433357,11;2364425,76;935449;972057,01;5446249,04;8695528,46;7019578,63;24250099,39;40489045,91;768197,22;172940,35;40278,82;909147,6;305353,69;29320086,72;9908481,42;52170799579;;276149744962,64;;
"Sandl""""";77,92;0,29;518663,91;1983261,18;231237,14;111487,63;7319302,1;1440335,3;65471069;1677987,37;24794529,65;3057954,86;13651947,97;23379156,81;5417304,76;11909384707;83738014070;3050356,4;5357,3;321004,34;11157990,06;1936343,59;2015334,13;593015,67;816458,15;3531840,82;2182238,57;294526,43;3194424,37;12188323,2;235036,7;149251,39;30426,09;866707,03;246860,98;17674546,71;10599844,48;56436756795;;152304299774,61;;
"ShaMeater""""";3,39;0,02;411,42;1549,03;116,08;46;6982,85;20434,76;12077,45;6076,36;8291,97;12583,65;26451,69;29648,63;10781,52;31725,79;122408,2;853,59;2,98;4945,2;2357,62;1122,01;1765,61;681,15;432,48;3898,73;7402,33;4882,02;27314,82;47128,94;1126,47;52,63;12,97;687,55;215,74;22127,15;625,75;2674811,62;;3092036,16;;
"ShaSkate""""";259,91;0,42;100968,3;318385,48;38238,55;17767,23;2026806,17;4946820,19;6208499,27;1549615,99;2962888,61;3540691,92;6910955,94;12527758,02;2839203,16;846469052,5;6031880387;312698,57;1475,81;1186031,34;1136636,25;420951,08;629331,34;219296,86;121422,28;1183530,23;2083297,48;1162841,98;7103367,66;12841275,75;331438,97;14473,22;4676,64;304377,96;76362,13;6143828,03;676579,39;3446283485;;10404575676,70;;
"Shri""""";1079,51;0,02;3141099,53;9735482,16;1219333,43;501145,89;36375149,08;19965009,59;180822570,9;7365508,76;70196448,4;35168023,72;47337226,14;510352584;48309800,68;30739420128;2,15349E+11;8255800,18;40972,24;4423049,13;32274725,14;10284633,38;20684537,52;4917716,07;3779365,82;17620567,03;38545696,81;1788329,26;15391190,98;52576845,74;2468825,9;463652,51;83357,76;10778070,03;2699957,23;94326220,79;27544727,12;1,46079E+11;;393487068922,49;;
