TI3;"BalWhale""""";"ToothWhale""""";"Apoll""""";"Jpoll""""";"PacCod""""";"Shri""""";"PacHerr""""";"Cepha""""";"ForFish""""";"Lzoopl""""";"Copep""""";"WalrBSeal""""";"Seal""""";"StLion""""";"Phal""""";"ArrTooFlo""""";"SFlatFish""""";"MacroUri""""";"KingCrab""""";"PacSal""""";"SpeWhale""""";"GreenTur""""";"TanCrab""""";"SnowCrab""""";"EpiFau""""";"InFAu""""";"BenthAmph""""";"Jelly""""";"SculRockFish""""";"Bird""""";"Skate""""";"Zoar""""";"Phyto""""";;SUM
"Copep""""";0,06;0,02;0,04;0,04;0,02;0,03;0,05;0,04;0,04;0,05;0,05;0,01;0,03;0,02;0,02;0,02;0,03;0,01;0,01;0,05;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,11;0,02;0,07;0,02;0,02;0,16;;1,12
"WalrBSeal""""";0,02;0,04;0,03;0,03;0,04;0,04;0,02;0,01;0,01;0,03;0,01;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,06;0,02;0,01;0,01;0,06;0,06;0,05;0,05;0,05;0,01;0,02;0,01;0,03;0,02;0,01;;0,89
"Seal""""";0,02;0,04;0,03;0,04;0,03;0,01;0,04;0,03;0,03;0,04;0,02;0,01;0,03;0,02;0,01;0,02;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,08;0,01;0,03;0,01;0,01;0,03;;0,77
"StLion""""";0,02;0,05;0,04;0,04;0,04;0,02;0,04;0,04;0,04;0,02;0,02;0,02;0,03;0,03;0,05;0,06;0,04;0,02;0,06;0,05;0,02;0,02;0,05;0,02;0,02;0,02;0,02;0,01;0,04;0,02;0,02;0,02;0,01;;1,03
"Phal""""";0,02;0,04;0,04;0,04;0,04;0,04;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,05;0,03;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,05;0,05;0,02;0,02;0,02;0,01;0,04;0,01;0,03;0,05;0,01;;0,92
"ArrTooFlo""""";0,02;0,03;0,03;0,03;0,01;0,03;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,04;0,01;0,03;0,01;0,02;0,01;0,01;0,1;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,64
"SFlatFish""""";0,03;0,04;0,03;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,05;0,03;0,02;0,05;0,06;0,02;0,03;0,03;0,03;0,03;0,03;0,06;0,03;0,06;0,05;0,05;0,05;0,02;0,05;0,02;0,03;0,06;0,02;;1,25
"MacroUri""""";0,01;0,03;0,02;0,01;0,02;0,03;0,02;0,04;0,03;0,03;0,01;0,02;0,01;0,01;0,02;0,03;0,02;0,04;0,02;0,02;0,12;0,07;0,02;0,02;0,04;0,04;0,04;0,01;0,02;0,01;0,02;0,05;0,01;;0,88
"KingCrab""""";0,01;0,03;0,01;0,01;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,05;0,01;0,04;0,01;0,01;0,02;0,02;0,03;0,01;0,01;0,01;0,02;0,02;0,04;0,04;0,04;0;0,03;0,01;0,02;0,01;0;;0,64
"PacSal""""";0,02;0,04;0,02;0,02;0,02;0,03;0,02;0,03;0,04;0,04;0,05;0,02;0,05;0,04;0,01;0,02;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,04;0,01;0,04;0,03;0,02;0,06;0,01;0,01;0,03;;0,83
"SpeWhale""""";0;0,01;0,01;0,01;0;0,01;0;0,02;0,01;0,01;0;0;0;0,01;0;0,05;0,01;0,04;0;0;0,04;0,05;0;0;0;0;0,01;0;0,01;0;0;0,01;0;;0,34
"GreenTur""""";0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,05;0,01;0,01;0,11;0,04;0,01;0,01;0,01;0,01;0,01;0;0,03;0,01;0,01;0,04;0;;0,71
"TanCrab""""";0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,04;0,04;0,01;0,02;0,01;0,03;0,01;0,01;0,01;0,03;0,03;0,05;0,05;0,04;0;0,04;0,01;0,05;0,02;0;;0,73
"SnowCrab""""";0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,04;0,01;0,04;0,02;0,03;0,01;0,01;0,01;0,03;0,03;0,05;0,05;0,04;0;0,04;0,01;0,05;0,02;0;;0,72
"EpiFau""""";0,01;0,02;0,02;0,02;0,04;0,03;0,04;0,02;0,02;0,02;0,01;0,06;0,01;0,02;0,02;0,01;0,04;0,05;0,07;0,05;0,01;0,02;0,06;0,07;0,04;0,06;0,06;0,01;0,04;0,02;0,06;0,04;0,01;;1,07
"InFAu""""";0,01;0,02;0,02;0,02;0,04;0,04;0,02;0,02;0,02;0,02;0,01;0,05;0,01;0,02;0,02;0,01;0,04;0,05;0,06;0,02;0,01;0,02;0,06;0,06;0,06;0,04;0,03;0,01;0,04;0,05;0,06;0,05;0,01;;1
"BenthAmph""""";0,02;0,02;0,02;0,02;0,04;0,04;0,05;0,03;0,04;0,02;0,02;0,05;0,02;0,02;0,02;0,01;0,04;0,05;0,06;0,05;0,02;0,02;0,06;0,06;0,06;0,03;0,03;0,01;0,04;0,02;0,03;0,02;0,01;;1,04
"Jelly""""";0,01;0,01;0,01;0,03;0,01;0;0,01;0,01;0,01;0,04;0,05;0,01;0,05;0,01;0;0,01;0,01;0;0;0,02;0;0;0;0;0;0;0;0,05;0,01;0,06;0;0,01;0,15;;0,59
"SculRockFish""""";0,03;0,03;0,04;0,04;0,05;0,05;0,05;0,04;0,04;0,04;0,02;0,04;0,02;0,05;0,06;0,03;0,05;0,03;0,07;0,03;0,03;0,06;0,07;0,07;0,06;0,06;0,06;0,02;0,04;0,02;0,03;0,03;0,01;;1,33
"Bird""""";0,02;0,01;0,01;0,03;0,01;0,01;0,04;0,03;0,03;0,04;0,05;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,08;0,01;0,03;0,01;0,01;0,04;;0,72
"Skate""""";0,01;0,01;0,03;0,03;0,03;0,03;0,01;0,03;0,03;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,05;0,05;0,04;0,05;0,02;0,01;0,02;0,01;0,03;0,02;0;;0,72
"Zoar""""";0,02;0,02;0,04;0,04;0,03;0,04;0,02;0,04;0,04;0,03;0,02;0,02;0,02;0,02;0,05;0,02;0,04;0,06;0,02;0,02;0,03;0,06;0,02;0,02;0,04;0,05;0,02;0,01;0,02;0,02;0,02;0,03;0,01;;0,95
"Phyto""""";0,01;0;0;0,01;0;0;0,01;0;0;0,03;0,04;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0,07;0;0,01;0;0;0,04;;0,28
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"BalWhale""""";"ToothWhale""""";"Apoll""""";"Jpoll""""";"PacCod""""";"Shri""""";"PacHerr""""";"Cepha""""";"ForFish""""";"Lzoopl""""";"Copep""""";"WalrBSeal""""";"Seal""""";"StLion""""";"Phal""""";"ArrTooFlo""""";"SFlatFish""""";"MacroUri""""";"KingCrab""""";"PacSal""""";"SpeWhale""""";"GreenTur""""";"TanCrab""""";"SnowCrab""""";"EpiFau""""";"InFAu""""";"BenthAmph""""";"Jelly""""";"SculRockFish""""";"Bird""""";"Skate""""";"Zoar""""";"Phyto""""";;SUM
"BalWhale""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ToothWhale""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Apoll""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jpoll""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PacCod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Shri""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PacHerr""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ForFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lzoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Copep""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"WalrBSeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Seal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"StLion""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ArrTooFlo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SFlatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroUri""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"KingCrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PacSal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SpeWhale""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"GreenTur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"TanCrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SnowCrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"EpiFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"InFAu""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthAmph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jelly""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SculRockFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Skate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"BalWhale""""";"ToothWhale""""";"Apoll""""";"Jpoll""""";"PacCod""""";"Shri""""";"PacHerr""""";"Cepha""""";"ForFish""""";"Lzoopl""""";"Copep""""";"WalrBSeal""""";"Seal""""";"StLion""""";"Phal""""";"ArrTooFlo""""";"SFlatFish""""";"MacroUri""""";"KingCrab""""";"PacSal""""";"SpeWhale""""";"GreenTur""""";"TanCrab""""";"SnowCrab""""";"EpiFau""""";"InFAu""""";"BenthAmph""""";"Jelly""""";"SculRockFish""""";"Bird""""";"Skate""""";"Zoar""""";"Phyto""""";;SUM
"BalWhale""""";217141697,7;1955536,66;8724818272;2886706237;43867996,49;137073977,9;748028158,1;1591288578;2625987328;3,94664E+11;3,33837E+12;2788411,77;7550562,05;2103982,06;1253966,31;4239695,3;63578901,9;55033002,75;68616,74;38050444,14;1375282,28;2016543,02;82245,56;255332,14;5088889,27;2003650,33;87776489,77;1250663904;12644158,09;45810417,29;8799773,52;28878523,7;1,01827E+12;;4,7699E+12
"ToothWhale""""";3128858,66;20055,25;124994662,9;41180421,34;391580,23;2183877,53;11000356,68;23685080,26;39257440,72;771369357,8;958894206,5;140093,39;79184,25;16241,53;11800,02;37514,74;1004460,64;927714,05;13878,79;562998,11;22458,24;16407,43;15974,63;51785,89;898830,88;849464,76;3211946,09;10299020,25;151757,36;666698,88;73525,83;446304,43;14559747768;;16555351726
"Apoll""""";15704672890;140618995,8;6,30849E+11;2,08756E+11;3202862056;9598770265;54017418959;1,15572E+11;1,89413E+11;2,9609E+13;2,52675E+14;173651778,3;548397178,4;152276192;89846800,47;310905015,6;4595741271;4021706863;1379778,33;2789023020;92797706,18;146036983,8;1689250,01;5273933,19;78170822,49;117724986,2;6116673761;91770227370;924376367;3348858964;639428966,7;2117620903;7,23088E+13;;3,55938E+14
"Jpoll""""";5196071227;46327974;2,08756E+11;69077125748;1056029822;3184610617;17866905595;38187580893;62598919430;9,76877E+12;8,32714E+13;56034371,63;180829084,2;50179873,52;29557708,02;102475203,7;1517994450;1323684640;316409,06;919962574,5;30166843,89;48135170,16;390321,37;1256911,39;23028234,23;44589022,08;2029705642;30343063721;304587604,1;1105969519;210984509,8;697435514,6;2,40099E+13;;1,17495E+14
"PacCod""""";100896391,9;562896,58;4092545960;1349371439;17984943,97;108371025,1;351385829,6;697829237,1;1193268312;38982552889;95960362097;27457306,34;2012296,65;449944,42;331748,55;961480,23;60091408,4;35007331,18;2844710,37;15116694,65;663887,99;415955,63;3360048,53;10227068,62;552422145,2;354633962,4;75304253,98;381695466,5;8199984,99;19202166,91;2479280,83;14088340,87;5,67477E+11;;7,11899E+11
"Shri""""";274147955,8;2729846,91;10665300295;3538456242;94235674,04;20023994,39;947692629,4;2468814631;3441179364;7,4787E+11;7,30641E+12;49768409,98;11902062,97;2791221,9;1691138,86;7381471,54;113040358,9;146969347;6271475,15;76903836,2;1871642,48;2780973,89;6374289,79;19222323,34;34800740,41;1913988225;232334676,2;1714382138;36177756,54;82238524,27;14891624,24;74263331,97;3,42037E+11;;8,42232E+12
"PacHerr""""";972436605,5;8937789,8;39012580360;12903876263;198609381,9;616000209,1;3338304750;7111925747;11689705115;1,80471E+12;1,53069E+13;15801877,78;34444983,76;9553042,66;5695337,84;19090831,58;290435047,3;249848991;577654,24;169897488;6235499,18;9193008,33;729934,58;2211987,96;149988201,5;22945580,17;447265228,9;5654995788;57229419,23;205498034,4;40212732,92;130666623,4;4,55775E+12;;2,17527E+13
"Cepha""""";3500834871;32566985,36;1,41255E+11;46673709980;667488835,5;2715696094;12035566649;24103544145;41714816583;5,52002E+12;4,34386E+13;38901974,75;118860524,2;34610407,62;21013059,1;62305702,65;962039184;711580631,4;1192768,51;518714609,5;25633420,04;33100268,94;1385984,98;4273589,58;42292773,7;82739949,01;1620424388;19645959508;178890238;659370477,3;143718831;379401356,2;1,94882E+13;;6,87449E+13
"ForFish""""";5251974657;49071800,9;2,10459E+11;69554354922;1037624619;3441179364;17984161716;37922560530;62751770893;9,24337E+12;7,71061E+13;59999501,3;186422300,3;51436322,81;31091402,6;99763621,82;1505418825;1297775342;1252941,83;886400063,8;36352449,97;49796157,05;1381343,05;4455412,69;30475393,13;238417256,2;2975417106;29979740090;294492733,8;1085949593;217396967;684436231,8;2,55643E+13;;1,12362E+14
"Lzoopl""""";7,49862E+11;916001112,4;3,12539E+13;1,03115E+13;32202978474;7,10477E+11;2,63765E+12;4,76729E+12;8,7812E+12;5,85594E+14;2,91715E+15;2901459067;5126448326;1000208776;574233990,1;3809760007;1,91662E+11;79842723416;11035806,84;86673580505;474727953,1;972509814,4;13835606,65;43963248,04;299231256,9;951177585,1;38674729590;3,56798E+12;13060624391;1,15904E+11;4284955698;40277101864;5,1248E+15;;8,69094E+15
"Copep""""";4,33988E+12;779101542,8;1,82487E+14;6,01404E+13;54238465533;4,74917E+12;1,53069E+13;2,56683E+13;5,0119E+13;1,99594E+15;5,85639E+14;7025416044;8320376537;833050169,8;506429007,9;7796843973;1,03537E+12;2,13026E+11;3023779,98;3,83663E+11;629857092,1;786901843,3;3388564,92;13980455,85;328273157,5;270517733,8;36074835220;1,95559E+13;29233542009;5,67354E+11;3424558346;1,05785E+11;3,36439E+16;;3,65903E+16
"WalrBSeal""""";3346094,12;105070,05;115767852,2;37356247,76;14325551,13;29861045,99;14586348,72;21219258,95;35999700,78;1832500463;6484999425;31932178,32;258922,61;68219,54;56547,59;89604,34;31510208,97;16840004,12;3670748,04;605499,26;136431,24;79784,42;4126730,96;12413976,19;477698835,8;697306366,7;31377354,87;12694009,25;7011426,3;917302,71;1459724,39;5170581,2;19942772129;;29868263644
"Seal""""";7550562,05;49490,16;304665099,1;100460602,3;874911,59;5951031,48;26496141,35;54027511,01;93211150,15;2698130698;6400289644;215768,84;180949,9;42764,35;30911,41;86293,59;2216657,8;1807261,64;20599,01;1192873,74;61856,27;41073,36;23542,41;78834,72;739332,52;845359,2;5727029,19;27672234,58;311702,23;1458545,88;176724,92;889855,94;40577306749;;50312833761
"StLion""""";2945574,88;14211,34;118437038,3;39028790,51;273879,21;1953855,33;10287892,1;22024804,85;36005425,97;736995939,9;897130952,1;79589,46;59870,1;10272,67;7671,91;29407,71;900959,53;811090,13;7284,67;522474,85;13973,63;10623,42;8259,32;29085,98;425138,56;382489,26;2659831,88;9802583,34;120087,63;621598,54;48847,56;396901,96;13912721713;;15794768120
"Phal""""";1630156,2;9587,51;64889355,9;21347233,57;187510,05;1099240,26;5695337,84;12416807,65;20209411,69;392896940,6;506429007,9;61259,89;40184,83;7123,92;5102,4;18097,39;515243,97;489566,44;5799,78;295876,58;8513,29;7892,66;6730,84;22258,25;420576,71;190308,15;2016333,43;5303115,14;74539,44;352870,81;36117,42;235148,34;7446190416;;8483113664
"ArrTooFlo""""";3391756,24;18757,37;138180006,9;45544534,99;334427,91;2952588,62;11748204,05;22656619,15;39905448,73;1604109477;4798057829;59736,23;69034,87;16804,41;11136,85;32680,15;947876,81;600760,81;4569,85;452813,06;16653,9;15925,91;5476,32;19755,49;851842,61;80985,24;2043420,67;13740136,43;111675,38;591750,89;71536,1;303878,48;20762428424;;27449376525
"SFlatFish""""";108084133,2;1067239,43;4340422311;1433661425;44415388,82;96084305,08;379799677,3;743393914,9;1279606001;1,71487E+11;1,35395E+12;44639462,7;3768318,25;1094022,29;673780,58;2014238,21;52609059,88;40973765,39;5767412,16;16583976,85;818341,76;1078057,66;6017767,32;18123137,36;217453899,3;1591981261;93920344,09;605904831,8;17093900,56;20560889,28;7026022,4;19390982,93;5,96881E+11;;2,13351E+12
"MacroUri""""";60536303,03;637803,41;2457709750;808918390,8;16742636,65;80833140,86;211410684,7;355790315,7;713776437,9;46224734609;1,80252E+11;15436670,44;1987987,8;637285,1;414248,53;826046,12;26512436,43;12399683,61;1821665,96;5124604,76;665455,55;621303,09;2008420,39;6042920,4;177441292;376654433,4;53443351,46;296415408,8;5424414,54;8138684,61;3228984,24;5229760,09;4,67928E+11;;7,00111E+11
"KingCrab""""";61755,06;7806,82;689889,16;158204,53;1113147,54;2822163,82;399914,47;487950,75;563823,82;5227487,45;2093386,14;2753061,03;18539,11;4683;4015,24;5141,08;3053335,85;1490453,96;301396,38;26232,46;10552,06;5429,67;348452,33;1047717,9;50159425,59;47001678,51;2357747,11;34232,81;555011,33;54211,36;103320,75;410141,65;60144316,88;;183514625,6
"PacSal""""";41855488,56;387061,2;1704402957;562199351,1;7229723,53;42297109,91;143759412,9;259357304,8;487520035,1;50179441345;3,24638E+11;555040,99;1312161,12;410515,95;250357,11;622617,95;10730808,55;5124604,76;32061,9;4438506,36;314393,58;391247,11;40086,17;121399;7301252,9;757454,18;19690370,79;225437135,4;1693489,92;6402575,28;1700331,75;2821943,91;2,90746E+11;;6,69103E+11
"SpeWhale""""";550112,91;5614,56;20621712,49;6703743,09;115458,78;374328,5;1918615,13;4660621,83;7270489,99;99942726,97;193802182,2;45477,08;24742,51;3992,47;2619,47;8326,95;192551;241983,84;4689,8;114324,94;2936,31;5689;5494,91;16590,23;250635,1;100212;1825266,57;1534663,53;37112,94;137700,87;26206,35;109243,57;1972249399;;2312905465
"GreenTur""""";1814888,72;9229,18;73018491,89;24067585,08;162765,24;1251438,25;6364390,38;13541019,11;22408270,67;460662543,7;544778199,2;59838,31;36966,03;6829,34;5464,15;17916,65;570736,41;508338,89;5429,67;320111,27;12800,24;6652,86;6401,64;21568,28;525060,7;99352,76;1563303,9;6078210,09;72841,35;379380,45;29057,46;245808,81;8672437292;;9831088182
"TanCrab""""";82245,56;9984,14;938472,23;216845,21;1460890,66;3187144,9;561488,14;629993,17;690671,52;7281898,24;2606588,4;3438942,47;23542,41;5899,52;5177,57;6845,4;3539863,13;1825836,72;387169,26;36441,97;13737,29;7112,93;440503,52;1324793,02;56340680,97;67957805,78;3224314,29;49184,91;724302,45;63998,6;141823,64;532184,32;86938590,01;;244694972,3
"SnowCrab""""";255332,14;32366,18;2929962,88;698284,1;4446551,58;9611161,67;1701529,2;1942540,72;2227706,35;23138551,6;10754196,81;10344980,15;78834,72;20775,7;17121,73;24694,36;10660669,04;5493564;1164131;110362,72;41475,57;23964,76;1324793,02;3984243,56;169673306,5;204015648,2;9665303,42;155055,3;2187952,09;196079,1;438426,51;1602935,09;266622713,5;;745585213,2
"EpiFau""""";7124444,98;786477,02;60799528,6;17910848,84;336256958;24360518,28;161525755,4;26913583,26;21332775,19;220486189,3;353524938,9;557315308,4;1035065,52;425138,56;452928,77;1490724,57;179079681,8;225834371,6;78025773,13;9292503,68;877222,85;816761,09;78876953,36;237542629,1;81088730,08;24275990545;583818060,2;1958755,47;161725424,4;827554,32;38322244,24;105387157,1;2603320156;;30454525707
"InFAu""""";2604745,43;690190,12;85023601,17;32203182,61;200445283,1;1244092346;22945580,17;48891788,05;154971216,5;650805716,1;270517733,8;755415230,6;1098966,96;355168,6;190308,15;131601,01;1217397435;445137057,6;67891313,4;895173,12;325689,01;143509,54;88345147,51;265220342,6;22541991221;83888848,93;17522285,02;6461638,11;108011361,5;16883454,88;6981797,23;77634978,76;10624521647;;39039635559
