TI3;"Zoopl""""";"Serg""""";"Penae""""";"Lcrus""""";"Jscian""""";"JMedPred""""";"JLP""""";"DemFeed""""";"Leio""""";"Engra""""";"Pela""""";"Phyto""""";"MeioBenth""""";"MacroBenth""""";"LZBFeed""""";"Ascian""""";"AMedPred""""";"Lpred""""";;SUM
"Zoopl""""";0,06;0,08;0,07;0,08;0,08;0,09;0,1;0,09;0,09;0,08;0,08;0,1;0,05;0,05;0,04;0,05;0,05;0,05;;1,29
"Serg""""";0,08;0,06;0,05;0,08;0,08;0,09;0,1;0,09;0,09;0,09;0,08;0,1;0,05;0,05;0,03;0,09;0,05;0,05;;1,3
"Penae""""";0,08;0,06;0,07;0,09;0,09;0,1;0,05;0,1;0,06;0,09;0,09;0,1;0,11;0,09;0,23;0,09;0,08;0,05;;1,64
"Lcrus""""";0,08;0,08;0,07;0,06;0,09;0,04;0,1;0,05;0,05;0,04;0,09;0,1;0,1;0,07;0,05;0,09;0,07;0,05;;1,27
"Jscian""""";0,06;0,07;0,06;0,07;0,05;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,09;0,06;0,04;0,08;0,07;0,07;;1,02
"JMedPred""""";0,06;0,06;0,05;0,03;0,03;0,04;0,03;0,03;0,03;0,08;0,03;0,03;0,03;0,05;0,03;0,03;0,06;0,07;;0,78
"JLP""""";0,05;0,05;0,02;0,05;0,03;0,03;0,04;0,03;0,03;0,03;0,03;0,03;0,02;0,05;0,02;0,03;0,05;0,06;;0,66
"DemFeed""""";0,06;0,05;0,05;0,03;0,03;0,03;0,03;0,04;0,04;0,03;0,03;0,03;0,09;0,06;0,04;0,03;0,06;0,06;;0,8
"Leio""""";0,06;0,06;0,03;0,03;0,03;0,03;0,03;0,04;0,04;0,03;0,03;0,08;0,08;0,06;0,03;0,03;0,05;0,06;;0,81
"Engra""""";0,06;0,06;0,06;0,03;0,04;0,09;0,04;0,04;0,03;0,05;0,04;0,03;0,03;0,06;0,04;0,08;0,07;0,07;;0,9
"Pela""""";0,07;0,07;0,06;0,07;0,04;0,04;0,04;0,04;0,04;0,04;0,05;0,09;0,04;0,06;0,04;0,08;0,07;0,07;;1,01
"Phyto""""";0,06;0,06;0,05;0,06;0,03;0,03;0,03;0,03;0,08;0,03;0,07;0,05;0,04;0,06;0,04;0,03;0,03;0,02;;0,79
"MeioBenth""""";0,03;0,02;0,05;0,05;0,06;0,02;0,02;0,07;0,07;0,02;0,02;0,03;0,05;0,06;0,04;0,02;0,03;0,02;;0,7
"MacroBenth""""";0,06;0,05;0,09;0,08;0,08;0,09;0,1;0,1;0,1;0,08;0,08;0,1;0,11;0,07;0,23;0,05;0,05;0,05;;1,56
"LZBFeed""""";0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,01;0,01;;0,23
"Ascian""""";0,04;0,06;0,06;0,06;0,07;0,04;0,04;0,03;0,03;0,08;0,07;0,03;0,03;0,03;0,03;0,05;0,07;0,07;;0,89
"AMedPred""""";0,05;0,05;0,07;0,07;0,08;0,09;0,1;0,09;0,09;0,09;0,08;0,04;0,05;0,05;0,04;0,09;0,06;0,09;;1,29
"Lpred""""";0,04;0,04;0,04;0,04;0,07;0,09;0,09;0,08;0,08;0,08;0,07;0,03;0,04;0,04;0,02;0,08;0,08;0,05;;1,07
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TO3;"Zoopl""""";"Serg""""";"Penae""""";"Lcrus""""";"Jscian""""";"JMedPred""""";"JLP""""";"DemFeed""""";"Leio""""";"Engra""""";"Pela""""";"Phyto""""";"MeioBenth""""";"MacroBenth""""";"LZBFeed""""";"Ascian""""";"AMedPred""""";"Lpred""""";;SUM
"AMedPred""""";0,17;0,19;0,17;0,11;0,03;0;0;0;0;0,03;0,03;0;0;0,19;0;0;0;0,17;;1,08
"Ascian""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemFeed""""";0;0;0,03;0,03;0,03;0;0;0;0,03;0;0;0;0;0,03;0;0;0;0;;0,14
"Engra""""";0,03;0,03;0,03;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0,03;0,03;;0,17
"JLP""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"JMedPred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jscian""""";0;0,03;0,06;0,06;0;0;0;0,03;0,03;0;0,03;0;0;0,03;0;0;0,03;0,03;;0,31
"Lcrus""""";0,08;0,11;0,14;0;0,06;0;0;0,03;0,03;0;0,06;0;0;0,14;0;0;0,11;0,06;;0,81
"Leio""""";0;0;0,03;0,03;0,03;0;0;0,03;0;0;0;0;0;0,03;0;0;0;0;;0,14
"Lpred""""";0,14;0,17;0,11;0,06;0,03;0;0;0;0;0,03;0,03;0;0;0,14;0;0;0,17;0;;0,86
"LZBFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroBenth""""";0,19;0,19;0,25;0,14;0,03;0;0;0,03;0,03;0,03;0,03;0;0;0;0;0;0,19;0,14;;1,25
"MeioBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Pela""""";0,03;0,06;0,06;0,06;0,03;0;0;0;0;0;0;0;0;0,03;0;0;0,03;0,03;;0,31
"Penae""""";0,14;0,19;0;0,14;0,06;0;0;0,03;0,03;0,03;0,06;0;0;0,25;0;0;0,17;0,11;;1,19
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Serg""""";0,19;0;0,19;0,11;0,03;0;0;0;0;0,03;0,06;0;0;0,19;0;0;0,19;0,17;;1,17
"Zoopl""""";0;0,19;0,14;0,08;0;0;0;0;0;0,03;0,03;0;0;0,19;0;0;0,17;0,14;;0,97
