TI3;"MarMamm""""";"Tuna""""";"PelaSha""""";"PelaPred""""";"Spela""""";"Squid""""";"Zoopl""""";"Bird""""";"BenthFish""""";"FlatFish""""";"PhytoEater""""";"Mull""""";"Crab""""";"Scrus""""";"Turtle""""";"Cepha""""";"GastroBivalv""""";"Anne""""";"Echino""""";"BenthAlga""""";"BillFish""""";"BenthPred""""";"DemSha""""";"GroupSnap""""";"Ray""""";"Spar""""";"BenthFeed""""";"Shri""""";"MeioBenth""""";"Phyto""""";;SUM
"Scrus""""";0,01;0,01;0,02;0,02;0,05;0,02;0,03;0,05;0,03;0,05;0,02;0,07;0,05;0,04;0,03;0,05;0,05;0,06;0,05;0,06;0,01;0,03;0,03;0,05;0,03;0,05;0,05;0,06;0,07;0,07;;1,21
"Turtle""""";0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,03;0,04;0,04;0,04;0,04;0,04;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,01;;0,58
"Cepha""""";0,01;0,01;0,02;0,01;0,01;0,01;0,04;0,02;0,04;0,03;0,01;0,02;0,05;0,04;0,07;0,04;0,05;0,05;0,05;0,03;0;0,05;0,06;0,02;0,03;0,04;0,05;0,05;0,03;0,02;;0,94
"GastroBivalv""""";0,01;0,01;0,02;0,01;0,02;0,01;0,04;0,02;0,04;0,05;0,02;0,03;0,05;0,05;0,08;0,06;0,04;0,06;0,06;0,06;0,01;0,02;0,03;0,02;0,06;0,05;0,05;0,06;0,07;0,06;;1,19
"Anne""""";0,01;0;0,02;0,01;0,01;0,01;0,02;0,02;0,04;0,05;0,02;0,06;0,05;0,05;0,07;0,06;0,06;0,04;0,06;0,06;0;0,03;0,03;0,02;0,06;0,04;0,05;0,05;0,08;0,02;;1,11
"Echino""""";0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,02;0,04;0,05;0,02;0,03;0,05;0,05;0,07;0,06;0,05;0,06;0,04;0,06;0,01;0,03;0,06;0,04;0,06;0,05;0,05;0,03;0,07;0,02;;1,1
"BenthAlga""""";0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,02;0,02;0,02;0,04;0,06;0,04;0,05;0,07;0,03;0,05;0,05;0,05;0,04;0,01;0,02;0,02;0,02;0,03;0,04;0,04;0,05;0,07;0,03;;0,97
"BillFish""""";0,04;0,07;0,04;0,05;0,05;0,05;0,01;0,02;0,01;0;0,02;0;0;0;0;0;0;0;0;0;0,04;0,01;0;0,01;0;0,01;0;0;0;0,01;;0,47
"BenthPred""""";0,01;0,01;0,04;0,02;0,01;0,01;0,02;0,02;0,04;0,04;0,05;0,05;0,04;0,02;0,02;0,04;0,02;0,02;0,02;0,02;0,01;0,03;0,06;0,04;0,02;0,04;0,04;0,02;0,01;0,02;;0,81
"DemSha""""";0,01;0,01;0,04;0,02;0,01;0,01;0,02;0,02;0,04;0,04;0,02;0,02;0,04;0,02;0,02;0,05;0,02;0,02;0,04;0,02;0,01;0,06;0,03;0,04;0,05;0,04;0,04;0,02;0,02;0,01;;0,79
"GroupSnap""""";0,03;0,03;0,05;0,06;0,05;0,03;0,04;0,03;0,05;0,05;0,06;0,06;0,04;0,05;0,02;0,03;0,02;0,03;0,05;0,03;0,03;0,06;0,06;0,04;0,03;0,05;0,05;0,05;0,03;0,03;;1,21
"Ray""""";0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,04;0,04;0,01;0,02;0,04;0,02;0,02;0,02;0,04;0,05;0,05;0,02;0,01;0,02;0,05;0,02;0,03;0,02;0,04;0,04;0,06;0,01;;0,8
"Spar""""";0,03;0,02;0,05;0,06;0,05;0,02;0,04;0,03;0,05;0,05;0,03;0,03;0,05;0,05;0,04;0,06;0,05;0,05;0,06;0,05;0,03;0,06;0,07;0,05;0,04;0,04;0,06;0,05;0,03;0,03;;1,33
"BenthFeed""""";0,01;0,01;0,04;0,02;0,02;0,01;0,04;0,02;0,05;0,03;0,02;0,03;0,05;0,05;0,04;0,06;0,05;0,05;0,06;0,05;0,01;0,06;0,06;0,05;0,06;0,05;0,04;0,05;0,03;0,02;;1,16
"Shri""""";0,01;0,01;0,02;0,01;0,02;0,01;0,04;0,02;0,04;0,05;0,02;0,03;0,05;0,05;0,03;0,05;0,06;0,05;0,03;0,06;0,01;0,03;0,03;0,04;0,06;0,04;0,05;0,04;0,07;0,06;;1,1
"MeioBenth""""";0;0;0,01;0;0,01;0;0,01;0,01;0,02;0,04;0,01;0,05;0,02;0,04;0,02;0,02;0,04;0,05;0,04;0,05;0;0,01;0,01;0,01;0,05;0,02;0,02;0,04;0,03;0,02;;0,66
"Phyto""""";0,02;0,02;0,01;0,02;0,04;0,05;0,03;0,02;0,01;0,01;0,05;0,05;0,01;0,04;0,01;0,01;0,03;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,03;;0,64
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"MarMamm""""";"Tuna""""";"PelaSha""""";"PelaPred""""";"Spela""""";"Squid""""";"Zoopl""""";"Bird""""";"BenthFish""""";"FlatFish""""";"PhytoEater""""";"Mull""""";"Crab""""";"Scrus""""";"Turtle""""";"Cepha""""";"GastroBivalv""""";"Anne""""";"Echino""""";"BenthAlga""""";"BillFish""""";"BenthPred""""";"DemSha""""";"GroupSnap""""";"Ray""""";"Spar""""";"BenthFeed""""";"Shri""""";"MeioBenth""""";"Phyto""""";;SUM
"Anne""""";0;0;0,03;0;0;0;0,1;0,02;0,12;0,1;0;0,02;0,15;0,12;0;0,03;0,15;0;0,12;0,05;0;0;0,02;0,02;0,02;0,12;0,1;0,1;0,03;0;;1,4
"BenthAlga""""";0;0;0,02;0;0;0;0,03;0,02;0,03;0,03;0;0,02;0,03;0,05;0;0,02;0,05;0,05;0,05;0;0;0;0;0,02;0,02;0,02;0,02;0,03;0,02;0;;0,52
"BenthFeed""""";0;0;0,05;0;0;0;0,07;0;0,15;0,12;0;0;0,17;0,1;0;0,05;0,1;0,1;0,1;0,02;0;0,02;0,03;0,03;0,02;0,13;0;0,08;0,02;0;;1,35
"BenthFish""""";0,03;0,02;0,1;0,05;0,07;0,08;0,13;0,07;0;0,17;0,05;0;0,22;0,12;0;0,05;0,1;0,12;0,1;0,03;0,03;0,02;0,03;0,08;0,02;0,2;0,15;0,07;0,03;0;;2,13
"BenthPred""""";0;0;0,02;0;0;0;0;0;0,02;0,02;0;0;0,02;0;0;0,02;0;0;0,02;0;0;0;0;0,02;0,02;0,02;0,02;0;0;0;;0,17
"BillFish""""";0,05;0,02;0,05;0,02;0,05;0,05;0,03;0,03;0,03;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0,02;0;0;0;0;;0,42
"Bird""""";0,03;0,03;0,05;0,05;0,03;0,07;0,07;0;0,07;0,02;0,03;0;0;0,02;0;0;0;0,02;0;0,02;0,03;0;0;0,07;0;0,03;0;0;0,02;0;;0,65
"Cepha""""";0;0;0,05;0;0;0;0,02;0;0,05;0,05;0;0;0,07;0,02;0;0;0,03;0,03;0,03;0,02;0;0,02;0,02;0,03;0,02;0,05;0,05;0;0;0;;0,55
"Crab""""";0;0;0,08;0,02;0,02;0,02;0,12;0;0,22;0,17;0,02;0;0;0,12;0;0,07;0,15;0,15;0,13;0,03;0;0,02;0,03;0,03;0,02;0,2;0,17;0,1;0,02;0;;1,88
"DemSha""""";0;0;0,03;0;0;0;0;0;0,03;0,03;0;0;0,03;0;0;0,02;0,02;0,02;0,02;0;0;0;0;0,02;0;0,02;0,03;0,02;0,02;0;;0,3
"Echino""""";0;0;0,05;0;0;0;0,07;0;0,1;0,08;0;0,02;0,13;0,08;0;0,03;0,12;0,12;0;0,05;0;0,02;0,02;0,02;0,03;0,1;0,1;0,1;0,02;0;;1,25
"FlatFish""""";0;0;0,07;0,03;0,02;0,03;0,08;0,02;0,17;0;0,02;0,02;0,17;0,1;0;0,05;0,1;0,1;0,08;0,03;0;0,02;0,03;0,05;0,03;0,13;0,12;0,08;0,02;0;;1,57
"GastroBivalv""""";0;0;0,03;0;0,02;0,02;0,08;0;0,1;0,1;0,02;0,03;0,15;0,12;0;0,03;0;0,15;0,12;0,05;0;0;0,02;0;0,02;0,12;0,1;0,12;0,02;0;;1,4
"GroupSnap""""";0,02;0,02;0,07;0,03;0,02;0,05;0,05;0,07;0,08;0,05;0,02;0;0,03;0,02;0;0,03;0;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,07;0,03;0;0,02;0;;0,78
"MarMamm""""";0;0,02;0,05;0,02;0,05;0,05;0,03;0,03;0,03;0;0,05;0;0;0;0;0;0;0;0;0;0,05;0;0;0,02;0;0,02;0;0;0;0;;0,42
"MeioBenth""""";0;0;0,02;0;0;0;0,02;0,02;0,03;0,02;0;0;0,02;0,02;0;0;0,02;0,03;0,02;0,02;0;0;0,02;0,02;0;0;0,02;0,02;0;0;;0,28
"Mull""""";0;0;0;0;0,02;0,02;0,02;0;0;0,02;0,02;0;0;0,03;0;0;0,03;0,02;0,02;0,02;0;0;0;0;0,02;0;0;0,03;0;0;;0,25
"PelaPred""""";0,02;0,07;0,08;0;0,07;0,1;0,08;0,05;0,05;0,03;0,03;0;0,02;0,02;0;0;0;0;0;0;0,02;0;0;0,03;0;0,02;0;0;0;0;;0,68
"PelaSha""""";0,05;0,07;0;0,08;0,1;0,12;0,1;0,05;0,1;0,07;0,07;0;0,08;0,02;0;0,05;0,03;0,03;0,05;0,02;0,05;0,02;0,03;0,07;0,02;0,07;0,05;0,02;0,02;0;;1,42
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PhytoEater""""";0,05;0,02;0,07;0,03;0,08;0,08;0,07;0,03;0,05;0,02;0;0,02;0,02;0,03;0;0;0,02;0;0;0;0,05;0;0;0,02;0;0,02;0;0,02;0;0;;0,68
"Ray""""";0;0;0,02;0;0;0;0;0;0,02;0,03;0;0,02;0,02;0,02;0;0,02;0,02;0,02;0,03;0,02;0;0,02;0;0,02;0;0,02;0,02;0,02;0;0;;0,3
"Scrus""""";0;0;0,02;0,02;0,03;0,03;0,12;0,02;0,12;0,1;0,03;0,03;0,12;0;0;0,02;0,12;0,12;0,08;0,05;0;0;0;0,02;0,02;0,1;0,1;0,1;0,02;0;;1,37
"Shri""""";0;0;0,02;0;0,02;0,02;0,07;0;0,07;0,08;0,02;0,03;0,1;0,1;0;0;0,12;0,1;0,1;0,03;0;0;0,02;0;0,02;0,08;0,08;0;0,02;0;;1,08
"Spar""""";0,02;0,02;0,07;0,02;0,02;0,03;0,1;0,03;0,2;0,13;0,02;0;0,2;0,1;0;0,05;0,12;0,12;0,1;0,02;0,02;0,02;0,02;0,07;0,02;0;0,13;0,08;0;0;;1,7
"Spela""""";0,05;0,05;0,1;0,07;0;0,13;0,08;0,03;0,07;0,02;0,08;0,02;0,02;0,03;0;0;0,02;0;0;0;0,05;0;0;0,02;0;0,02;0;0,02;0;0;;0,87
"Squid""""";0,05;0,07;0,12;0,1;0,13;0;0,12;0,07;0,08;0,03;0,08;0,02;0,02;0,03;0;0;0,02;0;0;0;0,05;0;0;0,05;0;0,03;0;0,02;0;0;;1,08
"Tuna""""";0,02;0;0,07;0,07;0,05;0,07;0,05;0,03;0,02;0;0,02;0;0;0;0;0;0;0;0;0;0,02;0;0;0,02;0;0,02;0;0;0;0;;0,43
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0,03;0,05;0,1;0,08;0,08;0,12;0;0,07;0,13;0,08;0,07;0,02;0,12;0,12;0;0,02;0,08;0,1;0,07;0,03;0,03;0;0;0,05;0;0,1;0,07;0,07;0,02;0;;1,7
