TI3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
"Sande""""";0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,03;0,02;0,03;0,02;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,03;0,02;0,02;0,06;0,02;0,04;0,04;0,04;0,04;0,02;0,04;0,05;0,05;0,06;0,04;0,01;0,02;0,01;0,02;0,01;0,01;0,01;;1,46
"Sole""""";0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;;0,52
"OpredFish""""";0,04;0,04;0,04;0,04;0,02;0,02;0,04;0,04;0,04;0,04;0,04;0,06;0,03;0,04;0,04;0,02;0,02;0,03;0,04;0,03;0,04;0,05;0,04;0,05;0,06;0,02;0,04;0,05;0,04;0,04;0,04;0,04;0,05;0,06;0,06;0,02;0,04;0,03;0,04;0,02;0,01;0,01;0,02;0,01;;1,58
"OpreyFish""""";0,04;0,04;0,04;0,04;0,03;0,03;0,04;0,02;0,02;0,02;0,02;0,06;0,03;0,03;0,03;0,02;0,02;0,03;0,04;0,04;0,03;0,04;0,03;0,05;0,03;0,02;0,04;0,04;0,04;0,04;0,04;0,04;0,05;0,02;0,02;0,02;0,02;0,02;0,04;0,06;0,01;0,01;0,02;0,02;;1,37
"Cepha""""";0,04;0,04;0,03;0,03;0,02;0,02;0,02;0,03;0,03;0,04;0,03;0,05;0,03;0,03;0,03;0,04;0,03;0,03;0,04;0,02;0,03;0,02;0,03;0,04;0,05;0,02;0,02;0,02;0,04;0,02;0,04;0,04;0,04;0,02;0,02;0,05;0,04;0,01;0,02;0,02;0,02;0,01;0,01;0,01;;1,31
"Zoopl""""";0,03;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,03;0,03;0,03;0,01;0,01;0,01;0,03;0,03;0,04;0,02;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,05;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,08;0,07;0,02;0,02;;0,91
"Eupha""""";0,04;0,03;0,02;0,03;0,04;0,04;0,01;0,02;0,03;0,04;0,03;0,05;0,02;0,02;0,03;0,05;0,03;0,03;0,02;0,01;0,03;0,03;0,03;0,01;0,01;0,05;0,02;0,01;0,04;0,01;0,04;0,02;0,01;0,01;0,02;0,02;0,04;0,01;0,02;0,02;0,1;0,09;0,07;0,08;;1,37
"Ocrus""""";0,05;0,04;0,04;0,04;0,05;0,05;0,04;0,04;0,04;0,05;0,04;0,06;0,04;0,04;0,04;0,06;0,05;0,04;0,05;0,04;0,04;0,05;0,04;0,05;0,07;0,06;0,04;0,03;0,05;0,05;0,05;0,05;0,05;0,06;0,06;0,03;0,05;0,14;0,04;0,07;0,1;0,1;0,08;0,09;;2,36
"Seal""""";0,02;0,02;0,03;0,03;0,01;0,03;0,03;0,02;0,03;0,03;0,03;0,01;0,03;0,03;0,03;0,02;0,01;0,02;0,02;0,03;0,03;0,04;0,03;0,04;0,05;0,05;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,97
"Whit""""";0,02;0,03;0,03;0,03;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,01;0,02;0,03;0,02;0,01;0,01;0,02;0,04;0,03;0,03;0,02;0,03;0,02;0,05;0,02;0,03;0,04;0,04;0,02;0,02;0,02;0,04;0,05;0,02;0,05;0,03;0,02;0,02;0,01;0,01;0,01;0,01;0,01;;1,09
"Jwhit""""";0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,02;0,04;0,04;0,04;0,05;0,04;0,03;0,04;0,04;0,03;0,04;0,04;0,03;0,03;0,06;0,04;0,05;0,04;0,04;0,04;0,04;0,02;0,05;0,06;0,03;0,04;0,02;0,04;0,02;0,02;0,02;0,02;0,02;;1,61
"Saithe""""";0,01;0,01;0,03;0,02;0,01;0,01;0,03;0,03;0,03;0,03;0,03;0,01;0,03;0,03;0,02;0,01;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,04;0,05;0,02;0,01;0,04;0,02;0,02;0,01;0,01;0,04;0,02;0,02;0,02;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;;0,92
"NorPout""""";0,02;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,02;0,02;0,03;0,02;0,03;0,04;0,04;0,04;0,03;0,03;0,04;0,04;0,03;0,04;0,03;0,02;0,02;0,02;0,02;0,04;0,04;0,04;0,04;0,02;0,04;0,05;0,05;0,05;0,04;0,02;0,04;0,02;0,02;0,01;0,01;0,01;;1,41
"Plai""""";0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,02;0,01;0,01;0,02;0,03;0,01;0,01;0,03;0,01;0,02;0,02;0,01;0,03;0,03;0,03;0,02;0,01;0,03;0,01;0,04;0,05;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;;0,79
"Brill""""";0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0;0,01;0,02;0,03;0,02;0,01;0,03;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0;0,01;0,01;0,01;;0,47
"SalTrout""""";0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0;0;0;0,01;0,01;0,01;0,01;;0,57
"OMacroBenth""""";0,02;0,03;0,03;0,03;0,01;0,01;0,04;0,03;0,02;0,01;0,02;0,05;0,03;0,04;0,02;0,01;0,02;0,03;0,04;0,03;0,03;0,02;0,02;0,05;0,06;0,01;0,04;0,02;0,02;0,04;0,04;0,04;0,05;0,05;0,05;0,01;0,01;0,14;0,06;0,07;0,03;0,08;0,08;0,08;;1,59
"Bird""""";0,01;0,01;0,03;0,03;0,01;0,01;0,03;0,03;0,03;0,03;0,02;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,02;0,03;0,03;0,04;0,01;0,01;0,01;0,02;0,03;0,03;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;;0,78
"Jsaithe""""";0,02;0,02;0,03;0,03;0,02;0,02;0,01;0,03;0,03;0,03;0,03;0,01;0,03;0,03;0,03;0,04;0,03;0,02;0,02;0,03;0,03;0,02;0,03;0,04;0,01;0,02;0,01;0,04;0,02;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;0,89
"Gurna""""";0,02;0,03;0,03;0,03;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,02;0,01;0,01;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,01;0,03;0,04;0,02;0,02;0,04;0,03;0,02;0,05;0,05;0,01;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,01;;1,02
"Jsha""""";0,02;0,03;0,02;0,02;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,02;0,03;0,02;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,02;0,03;0,01;0,01;0,03;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,9
"Polych""""";0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,01;0,01;0,02;0,05;0,03;0,03;0,03;0,01;0,02;0,03;0,02;0,02;0,03;0,02;0,02;0,04;0,06;0,01;0,04;0,02;0,02;0,03;0,04;0,03;0,02;0,02;0,02;0,01;0,03;0,03;0,04;0,06;0,01;0,02;0,06;0,02;;1,21
"HalTur""""";0,01;0,01;0,03;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,02;0,03;0,02;0,01;0,01;0,02;0,01;0,03;0,01;0,03;0,02;0,01;0,02;0,01;0,03;0,01;0,01;0,01;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,03;0,05;0,01;0,01;0,02;0,02;;0,78
"RaySkate""""";0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,54
"JraySkate""""";0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,49
"BlueTuna""""";0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0;0,01;0,04;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0;0;0;0,01;0;0;0;;0,56
"HorMack""""";0,02;0,02;0,01;0,03;0,04;0,03;0,02;0,03;0,03;0,03;0,03;0,01;0,02;0,01;0,03;0,04;0,03;0,02;0,02;0,03;0,03;0,03;0,03;0,01;0,02;0,02;0,01;0,02;0,04;0,01;0,02;0,03;0,01;0,02;0,01;0,05;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;0,96
"Stur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0,01;0;0,02;0;0;0;0;0;0;0;0;0;0;0,01;0,02;0,01;0;0,01;0,01;0,01;;0,17
"Echino""""";0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,05;0,03;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,02;0,04;0,05;0,01;0,04;0,01;0,01;0,03;0,01;0,04;0,04;0,01;0,02;0,01;0,01;0,13;0,03;0,07;0,01;0,02;0,07;0,07;;1,16
"EdiCrabLobs""""";0;0,01;0,02;0,01;0;0;0,01;0,01;0;0;0;0,01;0,01;0,02;0,01;0;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,03;0;0;0,01;0,01;0,03;0,03;0,01;0,01;0;0;0,02;0,03;0,03;0,01;0,02;0,06;0,06;;0,56
"Phyto""""";0,01;0;0;0;0,01;0,01;0;0;0,02;0,01;0;0;0;0;0;0,03;0,02;0,02;0;0;0;0;0;0;0;0,01;0,01;0;0,01;0;0;0;0;0;0;0;0,01;0,01;0;0,01;0,03;0,07;0,02;0,06;;0,41
"PlankMicroFlo""""";0,01;0;0;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0,03;0,03;0,02;0;0;0;0;0;0;0;0,01;0,02;0;0;0;0;0,01;0;0;0;0;0;0,01;0,01;0,02;0,08;0,04;0,06;0,07;;0,51
"MeioFau""""";0;0;0,01;0;0;0;0;0;0;0;0;0,01;0;0,01;0;0,01;0,02;0,02;0;0;0;0;0;0,01;0,01;0;0,03;0;0;0,01;0,01;0,02;0,01;0;0;0;0;0,02;0,03;0,06;0,03;0,07;0,03;0,07;;0,55
"BenthMicroFlo""""";0;0;0,01;0;0;0;0;0;0,01;0;0;0,01;0;0,01;0;0,01;0,03;0,02;0;0;0;0;0;0,01;0,01;0;0,02;0;0;0;0;0,01;0,01;0;0;0;0;0,02;0,03;0,05;0,08;0,08;0,07;0,04;;0,6
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
"Cet""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jcod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"NseaMack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Wmack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Hadd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jhadd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Herr""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sprat""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sande""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"OpredFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"OpreyFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Eupha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ocrus""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Seal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Whit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jwhit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Saithe""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"NorPout""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Plai""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Brill""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SalTrout""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"OMacroBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jsaithe""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Gurna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jsha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Polych""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HalTur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"RaySkate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"JraySkate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BlueTuna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HorMack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Stur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Echino""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"EdiCrabLobs""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PlankMicroFlo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthMicroFlo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
