TI3;"TranOrc""""";"Porp""""";"Pinni""""";"ResOrc""""";"Asal""""";"Aherr""""";"Sha""""";"Hal""""";"LingCod""""";"SabFish""""";"Aatooth""""";"PacCod""""";"Jatooth""""";"DeepDem""""";"PollOne""""";"RockFish""""";"Squide""""";"DeepEpiBent""""";"Cape""""";"Jherr""""";"Jelly""""";"OmnZoopl""""";"ShalSmEpiBenth""""";"Sal""""";"NshDem""""";"Eula""""";"ShalEpiBenth""""";"Sandl""""";"HerbZoopl""""";"PollZero""""";"DeepSmInFau""""";"AviPred""""";"ShalSmInFau""""";"NeaOmnZoo""""";"Bird""""";"ShalLgInFau""""";"MeioFau""""";"DeepLgInFau""""";"BelWhale""""";"NeaHerbZoo""""";"Otter""""";"MacroalgaGrass""""";"InveatBird""""";"NeaPhyto""""";"OffshPhyto""""";;SUM;%;;
"DeepSmInFau""""";0;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,01;0,03;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0;0;0,01;;0,50;0,01;;
"Eula""""";0,04;0,05;0,05;0,03;0,06;0,03;0,02;0,04;0,05;0,04;0,05;0,04;0,04;0,03;0,04;0,02;0,04;0,02;0,03;0,03;0,02;0,03;0,04;0,05;0,03;0,03;0,02;0,03;0,04;0,02;0,02;0,1;0,02;0,04;0,05;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,01;0,02;;1,42;0,03;;
"Hal""""";0,01;0,02;0,02;0,02;0,05;0,02;0,04;0,03;0,02;0,02;0,02;0,04;0,04;0,04;0,04;0,02;0,03;0,04;0,04;0,03;0,01;0,02;0,04;0,04;0,04;0,04;0,06;0,04;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,01;0,03;0,02;0,01;0,01;0,02;0,03;0,02;0,01;0,01;;1,16;0,03;;
"HerbZoopl""""";0,01;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,05;0,03;0,03;0,02;0,02;0,02;0,04;0,05;0,04;0,04;0,04;0,04;0,07;0,05;0,02;0,05;0,04;0,04;0,02;0,04;0,04;0,05;0,07;0,02;0,01;0,05;0,05;0,02;0,02;0,11;0,03;0,03;0,03;0,01;0,01;0,02;0,15;;1,62;0,04;;
"InveatBird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0,01;0;0,01;0;0;0;0;0;0,06;0;0;0;0;0;0;0;0;0,01;0,03;0,01;0;;0,21;0,00;;
"Jatooth""""";0,01;0,02;0,02;0,02;0,02;0,04;0,04;0,04;0,02;0,02;0,02;0,04;0,03;0,03;0,04;0,02;0,03;0,04;0,04;0,03;0,01;0,03;0,02;0,02;0,01;0,03;0,02;0,03;0,02;0,05;0,02;0,01;0,01;0,04;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;;1,03;0,02;;
"Jelly""""";0;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,03;0;0,01;0;0,01;0,03;0,01;0,01;0;0,01;0,03;0,01;0,02;0;0,01;0,01;0,05;0,01;0;0,01;0,08;0,14;;0,78;0,02;;
"Jherr""""";0,04;0,06;0,05;0,03;0,05;0,03;0,04;0,05;0,05;0,04;0,05;0,04;0,05;0,04;0,04;0,05;0,04;0,02;0,03;0,03;0,03;0,04;0,02;0,05;0,04;0,03;0,02;0,03;0,04;0,03;0,03;0,03;0,02;0,05;0,05;0,02;0,02;0,02;0,09;0,05;0,01;0,01;0,01;0,02;0,02;;1,61;0,04;;
"LingCod""""";0,02;0,02;0,04;0,03;0,05;0,04;0,03;0,02;0,03;0,02;0,02;0,01;0,01;0,03;0,03;0,04;0,01;0,01;0,02;0,03;0,01;0,03;0,01;0,04;0,03;0,03;0,01;0,02;0,03;0,01;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;;0,92;0,02;;
"MacroalgaGrass""""";0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0,01;0;0;0;0,02;0;0;0;0;0,02;0;0,01;0;0,05;0;0;0;0;0,01;0,01;0;0;0,01;0,01;0,01;0;0;0,02;0,03;0,01;0;0;;0,27;0,01;;
"MeioFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0,01;0,02;0,01;0;0;0,01;0,01;0;0;0;;0,16;0,00;;
"NeaHerbZoo""""";0,01;0,01;0,01;0,02;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,03;0,06;0,03;0,01;0,04;0,01;0,01;0;0,03;0,02;0,04;0,01;0,01;0,01;0,04;0,01;0,02;0;0;0,02;0,03;0;0;0,01;0,08;0,03;;0,84;0,02;;
"NeaOmnZoo""""";0,01;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,01;0,04;0,04;0,04;0,01;0,04;0,04;0,07;0,03;0,02;0,04;0,01;0,03;0,01;0,04;0,04;0,05;0,01;0,02;0,02;0,04;0,05;0,03;0,01;0,01;0,09;0,06;0,01;0,01;0,01;0,08;0,03;;1,30;0,03;;
"NeaPhyto""""";0;0;0;0;0;0,01;0,01;0;0;0,01;0;0,01;0;0,01;0;0;0,01;0;0,01;0,01;0,05;0,01;0,03;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0,06;0,03;0,01;0,1;0;0,01;0,01;0,04;0,02;0,01;0,03;0,04;0,02;;0,62;0,01;;
"NshDem""""";0,03;0,05;0,04;0,01;0,02;0,02;0,02;0,04;0,04;0,02;0,04;0,04;0,02;0,04;0,02;0,04;0,02;0,04;0,02;0,03;0,01;0,02;0,04;0,02;0,03;0,02;0,06;0,04;0,03;0,02;0,02;0,09;0,07;0,01;0,04;0,02;0,03;0,02;0,02;0,01;0,02;0,04;0,04;0,02;0,01;;1,38;0,03;;
"OffshPhyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,02;0;0,01;0;0;0;0;0,02;0;0,01;0;0;0,01;0;0;0;0,01;0;0,01;0;0;0;0,01;0,03;;0,23;0,01;;
"OmnZoopl""""";0,01;0,02;0,03;0,02;0,03;0,05;0,05;0,02;0,05;0,05;0,06;0,03;0,05;0,04;0,04;0,05;0,04;0,04;0,05;0,05;0,08;0,04;0,02;0,05;0,02;0,04;0,01;0,05;0,05;0,06;0,08;0,02;0,01;0,04;0,05;0,02;0,03;0,03;0,1;0,06;0,01;0,01;0,01;0,03;0,15;;1,87;0,04;;
"Otter""""";0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0,03;0;0;0;0;0,01;0;0,01;0;0,05;0;0,01;0;0,01;0;0,01;0;0,01;0,1;0,02;0,11;0;0;0,06;0,02;0;0,02;0;;0,52;0,01;;
"PacCod""""";0,04;0,06;0,05;0,02;0,02;0,04;0,04;0,05;0,02;0,05;0,03;0,04;0,05;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,01;0,02;0,04;0,02;0,05;0,04;0,07;0,04;0,02;0,05;0,07;0,02;0,08;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,04;0,04;0,02;0,01;;1,61;0,04;;
"Pinni""""";0,2;0,04;0,04;0,03;0,05;0,04;0,02;0,02;0,05;0,04;0,02;0,03;0,02;0,01;0,03;0,04;0,03;0,01;0,03;0,03;0,01;0,02;0,02;0,04;0,04;0,04;0,01;0,04;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0;0,01;0,01;0,02;0,02;0;0,01;0,01;0,01;0,01;;1,19;0,03;;
"PollOne""""";0,02;0,02;0,05;0,01;0,03;0,02;0,04;0,05;0,05;0,04;0,05;0,04;0,05;0,02;0,03;0,03;0,04;0,04;0,04;0,04;0,02;0,04;0,02;0,05;0,03;0,04;0,06;0,04;0,04;0,06;0,02;0,02;0,02;0,04;0,05;0,02;0,02;0,02;0,03;0,03;0,02;0,03;0,01;0,01;0,02;;1,49;0,03;;
"PollZero""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,03;0,04;0,01;0,03;0,03;0,03;0,01;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,02;0;0,01;0,04;0,01;0;0,01;0,01;0,02;0,04;0;0,01;0;0,01;0,02;;0,75;0,02;;
"Porp""""";0,19;0,04;0,02;0,02;0,01;0,03;0,03;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0;0,01;0,01;0;0;;0,84;0,02;;
"ResOrc""""";0;0;0;0,03;0,03;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0;0;;0,17;0,00;;
"RockFish""""";0,02;0,02;0,04;0,01;0,02;0,02;0,04;0,02;0,05;0,02;0,05;0,02;0,02;0,04;0,02;0,03;0,03;0,04;0,04;0,04;0,02;0,04;0,03;0,02;0,04;0,02;0,02;0,04;0,04;0,05;0,07;0,02;0,02;0,04;0,02;0,01;0,03;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,02;;1,23;0,03;;
"SabFish""""";0,04;0,06;0,04;0,02;0,02;0,04;0,04;0,02;0,02;0,03;0,02;0,04;0,02;0,03;0,04;0,02;0,04;0,04;0,04;0,03;0,05;0,04;0,02;0,02;0,02;0,04;0,01;0,04;0,02;0,05;0,07;0,01;0,01;0,02;0,02;0,01;0,03;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,03;;1,25;0,03;;
"Sal""""";0,02;0,02;0,04;0,03;0,05;0,02;0,02;0,04;0,05;0,02;0,02;0,01;0,02;0,01;0,04;0,02;0,02;0,01;0,04;0,03;0,06;0,03;0,03;0,03;0,02;0,04;0,01;0,04;0,04;0,02;0,01;0,03;0,01;0,04;0,05;0,01;0;0,01;0,02;0,05;0;0,01;0,01;0,02;0,03;;1,16;0,03;;
"Sandl""""";0,04;0,05;0,05;0,03;0,05;0,03;0,02;0,04;0,02;0,04;0,05;0,04;0,04;0,02;0,04;0,04;0,02;0,02;0,03;0,03;0,02;0,04;0,04;0,05;0,04;0,03;0,02;0,03;0,04;0,03;0,02;0,03;0,02;0,05;0,05;0,01;0,01;0,01;0,09;0,05;0,01;0,02;0,02;0,02;0,02;;1,42;0,03;;
"Sha""""";0,03;0,06;0,02;0,03;0,05;0,05;0,03;0,04;0,05;0,04;0,05;0,04;0,05;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,05;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,01;0,03;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,03;;1,39;0,03;;
"ShalEpiBenth""""";0;0,01;0,01;0;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,01;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0;0;0,04;0,01;0,03;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,07;0;0,01;0,03;0,02;0,03;0;0;0,11;0,14;0,04;0,02;0;;0,91;0,02;;
"ShalLgInFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0,01;0;0;0,01;0;0,01;0;0;0;0,01;0;0;0;0;0,01;0,01;0,01;0,03;0,04;0,01;0,03;0;0,01;0,1;0,01;0,01;0,07;0;;0,46;0,01;;
"ShalSmEpiBenth""""";0,01;0,02;0,02;0,02;0,03;0,04;0,04;0,04;0,02;0,02;0,02;0,04;0,02;0,04;0,02;0,04;0,03;0,02;0,04;0,02;0,02;0,02;0,05;0,04;0,05;0,04;0,08;0,04;0,02;0,01;0,02;0,1;0,05;0,02;0,05;0,03;0,02;0,01;0,01;0,02;0,02;0,15;0,21;0,08;0,01;;1,67;0,04;;
"ShalSmInFau""""";0;0,01;0,01;0;0;0;0,01;0,01;0,01;0,01;0;0,03;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0;0,02;0;0,03;0,01;0,05;0,01;0;0,01;0,01;0,01;0,05;0,01;0,01;0,02;0,01;0,01;0;0,01;0,02;0,02;0,2;0,07;0;;0,76;0,02;;
"Squide""""";0,04;0,06;0,05;0,01;0,02;0,02;0,04;0,05;0,02;0,05;0,03;0,04;0,05;0,04;0,04;0,05;0,03;0,04;0,05;0,04;0,03;0,04;0,04;0,03;0,03;0,04;0,03;0,03;0,04;0,06;0,03;0,02;0,07;0,05;0,05;0,02;0,03;0,02;0,02;0,05;0,02;0,02;0,04;0,03;0,02;;1,62;0,04;;
"TranOrc""""";0,03;0,04;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,17;0,00;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44,97;1,00;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"TranOrc""""";"Porp""""";"Pinni""""";"ResOrc""""";"Asal""""";"Aherr""""";"Sha""""";"Hal""""";"LingCod""""";"SabFish""""";"Aatooth""""";"PacCod""""";"Jatooth""""";"DeepDem""""";"PollOne""""";"RockFish""""";"Squide""""";"DeepEpiBent""""";"Cape""""";"Jherr""""";"Jelly""""";"OmnZoopl""""";"ShalSmEpiBenth""""";"Sal""""";"NshDem""""";"Eula""""";"ShalEpiBenth""""";"Sandl""""";"HerbZoopl""""";"PollZero""""";"DeepSmInFau""""";"AviPred""""";"ShalSmInFau""""";"NeaOmnZoo""""";"Bird""""";"ShalLgInFau""""";"MeioFau""""";"DeepLgInFau""""";"BelWhale""""";"NeaHerbZoo""""";"Otter""""";"MacroalgaGrass""""";"InveatBird""""";"NeaPhyto""""";"OffshPhyto""""";;SUM;%;;
"Aatooth""""";3157,37;307281,83;653363,96;186441,76;338720,6;1610146204;4662988,3;628463,34;912041,62;1602854,81;10523244,35;969652,19;4338398,34;4576058,44;108754788,5;15603960,2;246217144;1857178676;183233195,8;8683874142;13985622751;17561696228;153612279,4;77706677,95;38759179,38;54334461,59;51889252,23;369151387,6;53749427010;106931290,7;14589080091;33918,69;13013890,62;36775943,5;2991659,44;583492,48;95180063,98;14299601210;18404535,47;13576628,82;8756635,63;412384441,6;17830671,92;358718011,3;4,50993E+11;;579743982285,23;0,00;;2236490656
"Aherr""""";52,42;28103157,95;82932302,69;17069592,24;23288404,72;6060330832;116124413,7;45699849,28;25638320,92;112530768,2;2146861605;33595628,85;321745532,7;299220897,2;1395909518;307480445,5;5261936322;63379548134;707878434,8;20335304884;5,45261E+11;4,53192E+12;10597019156;375320018,1;157253959,8;1203753784;87295594,19;1030145712;1,98145E+13;323929396,8;70975972884;122895,71;1,21381E+11;386070893,7;459335705,2;42898819294;2686835978;31433447280;824052909,7;2734944244;1042794866;3008774861;91791,59;1715118944;1,28587E+12;;26571562171216,70;0,00;;2236490656,25
"Asal""""";176,28;8747,69;84517,48;177488,25;13646,66;17466303,54;417251,47;58308,96;22632,22;36152,05;338720,6;19843,91;100720,1;27676,29;1717625,24;274199,01;4510972,59;9302213,42;2048512,74;88800725,41;131885930,7;51134173,16;208091,43;855596,22;691394,74;1063054,76;1271579,19;3858490,82;17978971,38;1136053,36;166302203,7;25577,43;14613,2;373852,37;69146,05;2256,68;2871016,65;145530548,1;367166,16;245612,22;35773,13;10419820,11;421109,25;6576729,66;4669460011;;5338225205,55;0,00;;
"AviPred""""";19,19;486,36;1680,8;318,67;10657,26;38404,91;1346,27;1194,6;379,67;607,1;14132,79;1480,49;1502,63;1465,18;26667,68;2770,9;42932,12;831406,37;4177,78;36447,08;237354,75;36593,01;7360382,43;3271,59;51467,96;10798,12;158041,6;4755,7;250026,56;1138,54;396002,17;62,17;86017140,91;106416,62;3044,33;30397226,89;28844,44;42941,4;5067,07;944456,78;36170,88;775890,68;42510,25;847598,19;3346627,46;;132121908,34;0,00;;
"BelWhale""""";332,34;473343,41;770250,02;209511,5;152985,9;257516534,3;971703;306934,92;215071,54;979697,2;7668556,45;528745,04;1573981,06;2960433,65;17926597,08;3103753,3;29008802,5;956877271,2;29168285,28;1426699174;5024165241;27703693576;3604258,97;13201661,77;5594292,46;5789379,82;5394741,38;60122794,66;1,15977E+11;17401874,71;2386550471;5067,07;3682135,23;7035428,69;1463946,52;1264352,38;42032395,6;2385035507;3546132,31;6681267;492699,65;75666039,84;1687107,69;41074049,75;73890367869;;230399175690,51;0,00;;
"Bird""""";654,07;142540,72;313759,78;71714,86;80670,39;401918742,1;1001961,53;172591,77;245233,11;445516,47;3490269,35;249423,04;1036342,97;961976,28;26075852,28;3520290,66;51387232,24;465287769,4;45579197,75;2194262428;4006243079;8510802586;1044128152;19606759,01;11578815,54;11155453,31;19973728,51;92957650,06;31487002208;26836373,29;3605033425;8524,13;17233471392;30755545;930197,59;6100862861;19609094,36;3620787986;4099050,25;192506587,4;2732673,44;128060128,9;6145963,3;126058834;1,13602E+11;;193100084368,14;0,00;;
"Cape""""";95,19;3848057,68;11215463,09;2307787,73;3243478,51;840605641,3;15788814,65;6252360,27;3455216,18;15326019,78;290119226,6;4607500,98;43530957,31;40518643,41;188231310;41723325,66;707627634;8566531082;98128850,64;2887649126;73609771152;6,10399E+11;598564277,5;51928258;20016316,04;161723861,6;8071192,72;144829026,8;2,668E+12;45388223,15;9801375525;15875,57;6628879319;40717333,6;61857482,65;2342571818;374983639,4;4493569357;110839484,1;262077078,1;135798104,8;418880026,7;58939,28;233661482,5;1,80663E+11;;3572375247470,61;0,00;;
"DeepDem""""";377,19;78950,01;193397,42;21978,83;48433,5;392727427,5;3795206,55;1209351,73;275649,21;1362743,37;8008102,27;2459931,91;6651786,27;5136773,28;63839614,35;13732790,55;185737792,5;921281990,7;44783763,77;1823739618;3119418792;3606550840;2230645282;18402012,12;21717149,73;36117940,82;24597469,53;81502102,67;10166930322;24070877,76;5070436084;6153,78;41126999630;58293482,74;1442964,42;14570987022;478289808,6;3294475209;12433821,34;458692331,5;10733436,27;653499178;7269592,22;300491823,6;99145207938;;187994296942,34;0,00;;
"DeepEpiBent""""";6519,86;18123556,59;49400333,99;10457295,9;13953320,14;71301991651;949242319,4;290272511,6;63478084,12;344088572,6;2785768015;554710216,1;1726909269;789670277,7;14678985843;3336325449;47168833693;76473648936;8115661025;2,90327E+11;7,7401E+11;2,82401E+12;293488070,6;3436581443;7054360460;9361213807;13265288725;13668194204;1,17632E+13;4072754413;1,01267E+12;2993062,92;75338797,33;1232212837;598227132,1;155037882,7;1,12748E+11;5,40739E+11;3444758176;2639566137;1891326679;2,09862E+11;4926730767;75623213414;1,64364E+13;;34334384872630,90;0,00;;
"DeepLgInFau""""";0;41033286,85;154549175;28488472,03;48510182,7;7858361820;245407266,2;94197783,07;53384144,63;225193538,2;4766533737;56513221,34;705887377,6;627519087,5;2853569757;656502546,4;12730495475;1,20164E+11;946014601,4;8902451588;1,08825E+12;9,38136E+12;4523838910;529047309,5;168335042,1;2960377670;92669651,54;828397511,7;4,11692E+13;304801701,2;1,06686E+11;34353,12;5623774,78;339616559,8;1034510853;13778212,11;4079628971;6815745482;1908028405;3088546748;2553423014;4533354146;13841,07;4304261289;1,05083E+12;;52995597522259,40;0,00;;
"DeepSmInFau""""";9,32;129319332,8;352970501,6;70913577,21;97009618,84;31051988137;491211476,1;193959268,1;105046205,8;488596006,1;8510296720;182529650,7;1292992041;1690145361;5999198197;1350330450;22186627212;3,93815E+11;3611033088;1,18086E+11;2,23263E+12;1,82473E+13;25467005393;1833192084;636351208,9;5073600378;562192881,4;5682961292;7,93514E+13;1753826056;3,47538E+11;554403,04;27457876,22;1105593239;1802516713;82884143,69;11726534138;1,867E+11;3341170659;5624989176;4612923611;13028399937;20312,04;7006917946;7,05479E+12;;108099412248430,00;0,01;;
"Eula""""";309,18;5269984,59;8678756,04;2315171,87;1683170,03;1429457619;7998850,39;3462140,55;1669277,6;10149339,91;86029564,19;5852246,73;15308206,63;32678136,93;109902047,8;21393953,22;77888483,46;9881281240;161723861,6;8230888886;44968944365;3,06206E+11;88455368,03;78693567,08;32672286,57;9276535,61;12948200,58;342732781,8;1,2999E+12;99157593,96;13771201026;41032,84;558280766,8;47278786,39;15139543,78;195958659,4;487130560,7;14061793931;21999643,33;70270832,2;7866874,77;561806840,6;1175770,6;176637729,8;4,23672E+11;;2125480486264,12;0,00;;
"Hal""""";226,9;23729,03;72997,35;15502,14;77745,28;45699849,28;304400,94;70019,54;35228;114741,88;837951,11;140113,34;285886,56;921410,84;4742554,42;822177,33;12868245,66;258020010,4;5265145,49;228743537,4;343388494;299497207,8;115669762,5;2235044,87;2487427,4;2915486,78;6354415,28;9991600,02;284605722,6;2928838,84;443335469,9;3822,71;804089314,8;1949037,6;197247,74;284063549;9844269,55;376791132,3;982191,75;9425296,94;2287662,41;39938866,23;1770604,7;130853383,9;12096504018;;15831171340,53;0,00;;
"HerbZoopl""""";70907,75;80857872,53;134831405,2;35401690,48;29964952,3;2,47681E+13;50570144580;355757153,2;14142792639;23553162316;89582378350;687578445,6;75383689410;9682790783;1,78096E+12;3,00548E+11;6,07147E+12;1,30702E+13;2,80842E+12;1,26876E+14;1,89797E+14;7,668E+13;9831050356;1,16442E+12;2,68023E+11;1,36831E+12;705246324,4;5,47497E+12;4,2943E+13;1,59605E+12;2,26718E+14;1000106,25;1,03759E+11;5,2727E+11;44981431725;37398712665;1,37036E+11;2,05846E+14;4,63906E+11;3,08826E+11;1745363962;1,54752E+11;145321637,3;77130544173;6,70374E+15;;7633399835588080,00;0,58;;
"InveatBird""""";0;173903,93;936638,12;152656,09;70184,88;11473,95;76814,34;221325,59;153438,94;27758,65;2971778,65;306656,57;102574,98;692342,12;10311004,03;24286,83;12541,51;547414529,7;6204,13;161215,23;269148062,8;8549209,85;11409709333;12224,96;12628052,28;123765,33;28623735,24;144532,87;14532163,73;1247,95;5803,44;17004,1;1,86968E+11;231005771,5;877994,76;66146879648;2786,19;6920,53;674843,07;2048241396;22976991,37;11932427,62;39249,14;1840608,53;0;;267739968801,74;0,00;;
