"TI3";""TranOrc"";""SSLpup"";""SSLjuv"";""SSLad"";""Smamm"";""ToothWhale"";""Sal"";""Spela"";""AtkaMack"";""Herr"";""Apoll"";""DemSM"";""Mycto"";""BenthInv"";""Cephalo"";""Lzoopl"";""Szoopl"";""BalWhale"";""ShaMeater"";""Sandl"";""Jpoll"";""RockFish"";""PacCod"";""ShaSkate"";""ArrToo"";""FlatFish"";""Lpred"";""SabFish"";""Shri"";""EpiCarn"";""Otter"";""Bird"";""Lpela"";""DeepL"";""Halib"";""Macroph"";""POP"";""Phyto"";;SUM
""TranOrc"";"0,10";"0,43";"0,03";"0,03";"0,03";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,72"
""SSLpup"";"0,11";"0,08";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,22"
""SSLjuv"";"0,12";"0,08";"0,03";"0,03";"0,02";"0,02";"0,04";"0,01";"0,03";"0,01";"0,03";"0,03";"0,03";"0,02";"0,03";"0,02";"0,02";"0,02";"0,05";"0,01";"0,03";"0,04";"0,03";"0,03";"0,04";"0,03";"0,04";"0,02";"0,02";"0,02";"0,01";"0,01";"0,01";"0,02";"0,02";"0,01";"0,01";"0,01";;"1,05"
""SSLad"";"0,12";"0,08";"0,03";"0,03";"0,02";"0,02";"0,04";"0,02";"0,03";"0,01";"0,03";"0,03";"0,03";"0,02";"0,03";"0,02";"0,02";"0,02";"0,02";"0,04";"0,03";"0,04";"0,03";"0,03";"0,03";"0,03";"0,04";"0,02";"0,02";"0,02";"0,02";"0,02";"0,01";"0,02";"0,02";"0,02";"0,01";"0,01";;"1,05"
""Smamm"";"0,12";"0,08";"0,02";"0,03";"0,03";"0,02";"0,04";"0,05";"0,03";"0,05";"0,03";"0,03";"0,03";"0,03";"0,03";"0,02";"0,02";"0,02";"0,02";"0,05";"0,04";"0,04";"0,03";"0,02";"0,02";"0,04";"0,02";"0,06";"0,04";"0,04";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,02";"0,01";;"1,28"
""ToothWhale"";"0,01";"0,00";"0,01";"0,01";"0,01";"0,02";"0,04";"0,04";"0,03";"0,05";"0,03";"0,03";"0,03";"0,02";"0,02";"0,03";"0,03";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,01";"0,01";"0,02";"0,01";"0,02";;"0,69"
""Sal"";"0,02";"0,02";"0,03";"0,03";"0,03";"0,04";"0,03";"0,02";"0,01";"0,02";"0,01";"0,01";"0,02";"0,01";"0,03";"0,03";"0,03";"0,04";"0,04";"0,02";"0,01";"0,02";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";"0,02";"0,01";"0,01";"0,06";"0,01";"0,02";;"0,82"
""Spela"";"0,01";"0,00";"0,01";"0,01";"0,03";"0,04";"0,02";"0,02";"0,01";"0,02";"0,01";"0,03";"0,01";"0,01";"0,02";"0,03";"0,01";"0,04";"0,01";"0,02";"0,01";"0,01";"0,03";"0,02";"0,03";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,04";"0,01";"0,01";"0,01";"0,06";"0,01";"0,01";;"0,71"
""AtkaMack"";"0,02";"0,02";"0,05";"0,05";"0,04";"0,05";"0,03";"0,03";"0,03";"0,03";"0,04";"0,04";"0,04";"0,04";"0,04";"0,04";"0,04";"0,05";"0,02";"0,03";"0,05";"0,03";"0,04";"0,04";"0,04";"0,04";"0,05";"0,03";"0,04";"0,05";"0,09";"0,05";"0,02";"0,03";"0,05";"0,02";"0,03";"0,03";;"1,46"
""Herr"";"0,01";"0,00";"0,01";"0,01";"0,03";"0,04";"0,02";"0,02";"0,01";"0,03";"0,01";"0,02";"0,01";"0,01";"0,01";"0,03";"0,03";"0,04";"0,02";"0,01";"0,01";"0,01";"0,01";"0,02";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";"0,07";"0,01";"0,01";"0,01";"0,01";"0,02";;"0,68"
""Apoll"";"0,02";"0,02";"0,05";"0,04";"0,04";"0,05";"0,03";"0,02";"0,04";"0,03";"0,03";"0,04";"0,04";"0,04";"0,03";"0,04";"0,04";"0,05";"0,05";"0,02";"0,04";"0,03";"0,04";"0,04";"0,04";"0,04";"0,03";"0,03";"0,04";"0,04";"0,02";"0,02";"0,02";"0,03";"0,04";"0,02";"0,02";"0,03";;"1,29"
""DemSM"";"0,03";"0,02";"0,05";"0,05";"0,05";"0,06";"0,03";"0,06";"0,05";"0,06";"0,05";"0,04";"0,04";"0,04";"0,04";"0,04";"0,03";"0,05";"0,06";"0,03";"0,05";"0,05";"0,04";"0,04";"0,05";"0,04";"0,05";"0,03";"0,05";"0,05";"0,09";"0,03";"0,03";"0,03";"0,05";"0,03";"0,02";"0,02";;"1,60"
""Mycto"";"0,02";"0,02";"0,05";"0,05";"0,04";"0,05";"0,03";"0,03";"0,04";"0,03";"0,04";"0,04";"0,03";"0,04";"0,04";"0,04";"0,04";"0,02";"0,03";"0,03";"0,04";"0,04";"0,04";"0,04";"0,04";"0,05";"0,05";"0,03";"0,03";"0,03";"0,02";"0,05";"0,02";"0,06";"0,05";"0,07";"0,06";"0,03";;"1,46"
""BenthInv"";"0,01";"0,00";"0,03";"0,03";"0,05";"0,05";"0,02";"0,03";"0,04";"0,03";"0,04";"0,04";"0,04";"0,04";"0,04";"0,03";"0,03";"0,02";"0,03";"0,03";"0,04";"0,04";"0,04";"0,04";"0,04";"0,05";"0,05";"0,07";"0,05";"0,05";"0,09";"0,05";"0,08";"0,06";"0,05";"0,07";"0,07";"0,02";;"1,60"
""Cephalo"";"0,03";"0,02";"0,05";"0,05";"0,05";"0,06";"0,07";"0,07";"0,05";"0,04";"0,05";"0,05";"0,05";"0,05";"0,04";"0,05";"0,03";"0,06";"0,07";"0,06";"0,03";"0,05";"0,05";"0,05";"0,05";"0,05";"0,05";"0,07";"0,05";"0,05";"0,03";"0,06";"0,09";"0,07";"0,06";"0,09";"0,07";"0,03";;"1,99"
