Index,C1,C2,C3,C4,C5,C6
DC,0.74-0.78,0.71-0.76,0.61-0.7,0.37-0.49,0.36-0.46,0.08-0.15
WDC,0.93-0.94,0.83-0.87,0.75-0.84,0.59-0.67,0.54-0.61,0.22-0.31
CC,0.72-0.77,0.7-0.74,0.61-0.7,0.31-0.45,0.35-0.45,0.03-0.09
BC,0.73-0.79,0.66-0.74,0.68-0.73,0.43-0.51,0.27-0.39,0-0
s,0.92-0.95,0.85-0.89,0.82-0.87,0.76-0.83,0.71-0.77,0.15-0.28
cs,0.87-0.91,0.86-0.9,0.86-0.89,0.75-0.78,0.68-0.74,0.22-0.3
ns,0.88-0.91,0.87-0.89,0.82-0.89,0.74-0.79,0.69-0.78,0.19-0.28
kindex,0.69-0.74,0.7-0.74,0.55-0.65,0.25-0.38,0.21-0.37,0.02-0.07
kbu,0.9-0.93,0.85-0.88,0.75-0.82,0.71-0.75,0.69-0.77,0.14-0.23
ktd,0.81-0.85,0.79-0.83,0.73-0.82,0.67-0.71,0.47-0.57,0.19-0.29
kdir,0.64-0.71,0.64-0.68,0.52-0.62,0.21-0.3,0.14-0.28,0.02-0.06
kindir,0.72-0.76,0.7-0.75,0.53-0.67,0.38-0.48,0.33-0.48,0-0.06
TI1,0.8-0.83,0.77-0.81,0.62-0.71,0.44-0.52,0.42-0.54,0.11-0.18
TI3,0.85-0.88,0.79-0.83,0.67-0.79,0.53-0.62,0.52-0.57,0.15-0.22
TI5,0.87-0.9,0.8-0.84,0.7-0.77,0.51-0.63,0.51-0.58,0.17-0.24
WI1,0.8-0.84,0.77-0.8,0.63-0.73,0.47-0.53,0.42-0.55,0.11-0.18
WI3,0.85-0.88,0.79-0.83,0.66-0.76,0.52-0.61,0.51-0.58,0.14-0.21
WI5,0.87-0.89,0.8-0.83,0.69-0.78,0.51-0.63,0.52-0.6,0.16-0.23
STO1,0.89-0.92,0.76-0.81,0.67-0.78,0.58-0.67,0.55-0.61,0.04-0.09
STO3,0.89-0.92,0.77-0.81,0.66-0.77,0.55-0.64,0.55-0.62,0.05-0.1
STO5,0.87-0.9,0.75-0.79,0.65-0.76,0.56-0.63,0.53-0.63,0.04-0.1
wSTO1,0.85-0.88,0.78-0.83,0.64-0.76,0.56-0.62,0.54-0.65,0.07-0.13
wSTO3,0.83-0.88,0.8-0.84,0.65-0.77,0.55-0.62,0.49-0.62,0.06-0.13
wSTO5,0.82-0.86,0.81-0.85,0.65-0.74,0.55-0.62,0.47-0.58,0.08-0.14
