TI3;"Phyto""""";"MesoZoopl""""";"IntInv""""";"MacroZoopl""""";"MacroAlga""""";"EpiZooBenth""""";"Bird""""";"InfZoopl""""";"WildSal""""";"HatchSal""""";"Herr""""";"Spela""""";"DemFish""""";"TranMamm""""";"Otter""""";"Pinni""""";"Sal""""";"ResMamm""""";;SUM
"IntInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroAlga""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"EpiZooBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"InfZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"WildSal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HatchSal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Herr""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Spela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"TranMamm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Otter""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Pinni""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ResMamm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
WI3;"Phyto""""";"MesoZoopl""""";"IntInv""""";"MacroZoopl""""";"MacroAlga""""";"EpiZooBenth""""";"Bird""""";"InfZoopl""""";"WildSal""""";"HatchSal""""";"Herr""""";"Spela""""";"DemFish""""";"TranMamm""""";"Otter""""";"Pinni""""";"Sal""""";"ResMamm""""";;SUM
"Phyto""""";2,21796E+15;3,04006E+17;1,9731E+15;1,04548E+16;87169324811;1,01313E+14;1,68432E+12;1,53521E+14;7,10025E+11;6,84832E+11;1,39993E+14;1,91168E+14;3,87274E+13;7,21928E+11;4,86689E+13;1,61291E+12;1,69182E+12;3,73769E+11;;3,19333E+17
"MesoZoopl""""";1,11469E+18;2,22671E+15;3,18573E+15;3,21905E+16;2,10344E+11;1,58675E+14;1,71047E+12;1,46508E+17;6,91208E+13;6,66523E+13;7,28569E+15;5,33899E+15;1,63812E+14;7,83109E+12;9406115488;5,40475E+11;1,17576E+12;66328416445;;1,31189E+18
"IntInv""""";3,2885E+15;1,44806E+15;1,87222E+13;1,44215E+14;424624347,9;9,48568E+11;12985745583;4,31545E+14;2,06693E+11;1,99312E+11;2,21053E+13;1,66174E+13;6,66167E+11;26512589467;2,31587E+11;8543710179;11237732543;1836600555;;5,37208E+15
"MacroZoopl""""";3,83343E+16;3,21905E+16;3,17274E+14;2,20425E+15;9334899520;1,61591E+13;2,37745E+11;5,02333E+15;2,43943E+12;2,35233E+12;2,64235E+14;2,02947E+14;9,72122E+12;3,45812E+11;5,15788E+12;1,80748E+11;2,16991E+11;39976130841;;7,85737E+16
"MacroAlga""""";58112883207;38244346302;169849739,2;1697254458;278857,58;649983573,3;1398621,42;7668164824;4883414,56;4756008,08;382429174,8;804251397,2;119558840,2;768899,74;219162016,7;14451411,92;11263,93;515486,15;;1,08095E+11
"EpiZooBenth""""";1,35084E+14;5,76999E+13;7,58855E+11;5,87605E+12;1299967147;38539798166;494367160,1;1,7754E+13;8413140698;8113109210;8,88516E+11;6,71655E+11;26244364259;1002547167;9271627812;859912973,9;617713590,1;143923220,4;;2,18828E+14
"Bird""""";2,8072E+12;7,77488E+11;12985745583;1,08066E+11;3496553,56;617958950,1;30969307,95;3,67915E+11;182100404,8;175695506;19536987788;14368055689;662899322,5;28532972,98;99828191,46;79084325,62;38501798,76;14024591,75;;4,10949E+12
"InfZoopl""""";2,55868E+14;6,65947E+16;4,31545E+14;2,28333E+15;19170412059;2,21925E+13;3,67915E+11;3,26943E+12;1,41636E+11;1,36611E+11;2,92538E+13;4,0859E+13;8,45584E+12;1,56769E+11;1,06766E+13;3,47575E+11;3,68193E+11;80459600399;;6,96818E+16
"WildSal""""";7,10025E+11;1,88511E+13;1,24016E+11;6,65298E+11;7325121,83;6309855524;109260242,9;84981371042;79215326,56;76403630,41;12311487993;14478704057;2492380300;48884109,2;2991445811;118090059,7;113744085,8;27253827,02;;2,04746E+13
"HatchSal""""";6,84832E+11;1,81779E+13;1,19587E+11;6,41543E+11;7134012,12;6084831907;105417303,6;81966897306;76403630,41;73691730,17;11874468113;13963645504;2403848432;47151414,47;2884756129;113994081,9;109772825,2;26303345,4;;1,97436E+13
"Herr""""";2,79985E+14;3,97401E+15;2,65263E+13;1,44128E+14;1147287524;1,33277E+12;23444385345;3,51045E+13;24622975987;23748936225;3,40252E+12;3,63462E+12;5,40743E+11;11100975497;6,22821E+11;27633338851;24938796044;6415521508;;4,46943E+15
"Spela""""";5,73504E+14;4,36826E+15;2,99113E+13;1,66047E+14;3619131287;1,51122E+12;25862500241;7,35461E+13;43436112170;41890936511;5,45193E+12;5,26389E+12;6,32204E+11;13906635765;6,88628E+11;30057165363;27440901844;6821581549;;5,22501E+15
"DemFish""""";1,67819E+14;1,93596E+14;1,73203E+12;1,14887E+13;777132461,5;85294183840;1723538238;2,19852E+13;10800314633;10416676539;1,17161E+12;9,13184E+11;50408414724;1669024247;29430663517;3054814461;2030149953;605364089,4;;3,98901E+14
"TranMamm""""";1,92514E+12;5,69534E+12;42420143147;2,515E+11;3075598,95;2005094335;45652756,77;2,5083E+11;130357624,5;125737105,3;14801300663;12361454014;1027091844;27962289,52;832268378,1;80925046,77;55303112,58;18199069,14;;8,19675E+12
"Otter""""";3,2446E+13;1710202816;92634836969;9,37797E+11;219162016,7;4635813906;39931276,59;4,27062E+12;1994297207;1923170753;2,07607E+11;1,53028E+11;4527794387;208067094,5;81536,56;129645325,8;68255812,82;16942175,83;;3,81231E+13
"Pinni""""";3,22582E+12;2,94805E+11;10252452215;98589650018;43354235,75;1289869461;94901190,75;4,1709E+11;236180119,4;227988163,9;27633338851;20038110242;1409914367;60693785,08;388935977,4;151349604,1;99956578,13;18389943,89;;4,09825E+12
"Sal""""";2,8197E+12;5,34436E+11;11237732543;98632133533;28159,82;772141987,6;38501798,76;3,68193E+11;189573476,3;182954708,7;20782330036;15244945469;780826905,2;34564445,37;170639532;83297148,44;39732146,44;11858020,9;;3,87053E+12
"ResMamm""""";8,72127E+11;42208992283;2571240777;25439355990;1804201,51;251865635,8;19634428,45;1,12643E+11;63592263,04;61374472,6;7484775093;5305674538;325965278,9;15924185,5;59297615,39;21454934,54;16601229,26;2009416,76;;1,06862E+12
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
WO3;"Phyto""""";"MesoZoopl""""";"IntInv""""";"MacroZoopl""""";"MacroAlga""""";"EpiZooBenth""""";"Bird""""";"InfZoopl""""";"WildSal""""";"HatchSal""""";"Herr""""";"Spela""""";"DemFish""""";"TranMamm""""";"Otter""""";"Pinni""""";"Sal""""";"ResMamm""""";;SUM
"Bird""""";0,03;0,03;0,03;0,03;0;0,03;0;0,03;0;0;0,03;0,03;0,03;0;0,03;0,03;0,03;0;;0,33
"DemFish""""";0,11;0,11;0,11;0,11;0;0,11;0,03;0,11;0,03;0,03;0,11;0,11;0;0,03;0,06;0,03;0,03;0;;1,11
"EpiZooBenth""""";0,11;0,11;0,11;0,11;0;0;0,03;0,11;0,03;0,03;0,11;0,11;0,11;0,03;0,06;0,03;0,03;0;;1,11
"HatchSal""""";0,03;0,03;0,03;0,03;0;0,03;0;0,03;0,03;0;0,03;0,03;0,03;0,03;0;0;0;0;;0,31
"Herr""""";0,19;0,19;0,19;0,19;0;0,11;0,03;0,19;0,03;0,03;0;0,19;0,11;0,03;0,06;0,03;0,03;0;;1,61
"InfZoopl""""";0,28;0,25;0,19;0,28;0;0,11;0,03;0;0,03;0,03;0,19;0,19;0,11;0,03;0,06;0,03;0,03;0;;1,83
"IntInv""""";0,19;0,19;0;0,19;0;0,11;0,03;0,19;0,03;0,03;0,19;0,19;0,11;0,03;0,06;0,03;0,03;0;;1,61
"MacroAlga""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroZoopl""""";0,28;0,31;0,19;0;0;0,11;0,03;0,28;0,03;0,03;0,19;0,19;0,11;0,03;0,06;0,03;0,03;0;;1,89
"MesoZoopl""""";0,25;0;0,19;0,31;0;0,11;0,03;0,25;0,03;0,03;0,19;0,19;0,11;0,03;0,06;0,03;0,03;0;;1,83
"Otter""""";0,06;0,06;0,06;0,06;0;0,06;0,03;0,06;0;0;0,06;0,06;0,06;0;0;0,03;0,03;0;;0,58
"Phyto""""";0;0,25;0,19;0,28;0;0,11;0,03;0,28;0,03;0,03;0,19;0,19;0,11;0,03;0,06;0,03;0,03;0;;1,83
"Pinni""""";0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0;0;0,03;0,03;0,03;0;0,03;0;0,03;0;;0,33
"ResMamm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sal""""";0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0;0;0,03;0,03;0,03;0;0,03;0,03;0;0;;0,33
"Spela""""";0,19;0,19;0,19;0,19;0;0,11;0,03;0,19;0,03;0,03;0,19;0;0,11;0,03;0,06;0,03;0,03;0;;1,61
"TranMamm""""";0,03;0,03;0,03;0,03;0;0,03;0;0,03;0,03;0,03;0,03;0,03;0,03;0;0;0;0;0;;0,31
"WildSal""""";0,03;0,03;0,03;0,03;0;0,03;0;0,03;0;0,03;0,03;0,03;0,03;0,03;0;0;0;0;;0,31
