TI3;"Rast""""";"Scomber""""";"Caran""""";"Lpisc""""";"Cepha""""";"Tuna""""";"Mamm""""";"Zoopl""""";"Jpela""""";"Phyto""""";"Spela""""";"Sha""""";"Shri""""";"TraFish""""";"Sdem""""";"Lutja""""";"PonyFish""""";"Benth""""";"Pomf""""";"Nemi""""";"FalTrev""""";"SergShri""""";"Jcaranx""""";"Scian""""";"Saur""""";"Plecto""""";"Silla""""";"DemPisc""""";"DemBenth""""";"Jsaur""""";"Jnemi""""";"Ari""""";"Pria""""";"ShellFish""""";"Ray""""";"Cucu""""";"CrabLobs""""";"Jelly""""";;SUM;;
"Ari""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,02;0,01;0,04;0,03;0,01;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,05;0,01;0,01;0,06;0,02;0,01;0,04;0,02;0,01;0,01;0,04;0,01;0,08;0,01;0,01;0,01;0,01;;0,70;thresold;0,03
"Benth""""";0,03;0,03;0,06;0,04;0,03;0,04;0,07;0,05;0,02;0,09;0,03;0,07;0,07;0,06;0,06;0,08;0,08;0,06;0,07;0,08;0,02;0,08;0,02;0,06;0,09;0,09;0,1;0,07;0,08;0,03;0,03;0,1;0,09;0,06;0,18;0,12;0,15;0,03;;2,54;;
"Caran""""";0,07;0,07;0,04;0,04;0,03;0,04;0,07;0,04;0,02;0,03;0,07;0,05;0,04;0,05;0,05;0,05;0,06;0,04;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,01;0,02;0,03;;1,29;;
"Cepha""""";0,07;0,07;0,03;0,05;0,05;0,05;0,07;0,05;0,1;0,03;0,03;0,02;0,04;0,05;0,03;0,05;0,07;0,03;0,02;0,03;0,04;0,07;0,1;0,05;0,07;0,02;0,03;0,05;0,03;0,12;0,12;0,03;0,03;0,02;0,01;0,01;0,02;0,04;;1,78;;
"CrabLobs""""";0;0;0;0,01;0;0,02;0;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0,02;0,01;0,01;0;0;0;0;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0;0,01;0,01;0;0,02;0;;0,28;;
"Cucu""""";0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0,11;0;0;;0,30;;
"DemBenth""""";0,01;0,01;0,02;0,04;0,02;0,04;0,01;0,01;0,01;0,02;0,01;0,05;0,04;0,04;0,02;0,02;0,06;0,04;0,02;0,02;0,01;0,01;0,01;0,02;0,07;0,03;0,02;0,05;0,04;0,01;0,01;0,03;0,02;0,09;0,02;0,01;0,14;0,01;;1,12;;
"DemPisc""""";0,02;0,02;0,03;0,05;0,04;0,04;0,02;0,02;0,01;0,02;0,02;0,05;0,05;0,05;0,05;0,07;0,07;0,05;0,03;0,07;0,02;0,03;0,02;0,02;0,04;0,03;0,09;0,04;0,06;0,02;0,02;0,08;0,08;0,03;0,02;0,01;0,03;0,01;;1,41;;
"FalTrev""""";0,02;0,01;0,01;0,03;0,02;0,03;0,01;0,03;0,08;0,01;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,06;0,09;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0;0;0,01;0,02;;0,74;;
"Jcaranx""""";0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,03;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,06;0,02;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0;0,01;0;0;0;0,01;0,02;;0,50;;
"Jelly""""";0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;;0,10;;
"Jnemi""""";0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,02;0,02;0,01;0,01;0;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0;0,02;0,02;0;0,01;0;0;0;0,01;0,02;;0,38;;
"Jpela""""";0,05;0,01;0,01;0,01;0,03;0,03;0,01;0,03;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,07;0,02;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0;0,01;0,01;0;0;0,01;0,02;;0,60;;
"Jsaur""""";0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,02;0,02;0,01;0,01;0;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0;0,02;0,02;0;0,01;0;0;0;0,01;0,02;;0,38;;
"Lpisc""""";0,06;0,03;0,05;0,04;0,05;0,06;0,03;0,03;0,04;0,03;0,07;0,06;0,03;0,05;0,05;0,03;0,03;0,03;0,07;0,07;0,08;0,03;0,03;0,05;0,07;0,08;0,08;0,05;0,06;0,03;0,03;0,03;0,02;0,03;0,01;0;0,03;0,01;;1,64;;
"Lutja""""";0,01;0,02;0,04;0,02;0,04;0,02;0,02;0,02;0,01;0,01;0,01;0,05;0,05;0,04;0,04;0,04;0,02;0,04;0,02;0,06;0,01;0,06;0,01;0,02;0,02;0,02;0,08;0,05;0,02;0,01;0,01;0,03;0,07;0,01;0,02;0,01;0,02;0,01;;1,11;;
"Mamm""""";0,06;0,03;0,04;0,02;0,03;0,01;0,03;0,03;0,02;0,03;0,05;0,01;0,01;0,04;0,04;0,01;0,01;0,03;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,02;;0,73;;
"Nemi""""";0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,02;0,03;0,01;0,02;0,04;0,01;0,03;0,05;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,02;;0,71;;
