TI3;"ProdPrim""""";"Szoopl""""";"Lzoopl""""";"Crab""""";"Shri""""";"DetFeed""""";"Sdem""""";"Mdem""""";"MdemCom""""";"LdemCom""""";"SbathyPela""""";"MpelaCom""""";"Sard""""";"MesoPelaPrey""""";"Mpela""""";"Lpela""""";"Tuna""""";"PelaSha""""";"Cepha""""";"BalWhale""""";"Lobs""""";"SDeepWatBott""""";"Ldem""""";"VIgDemCom""""";"MbathyPela""""";"SDemShaRay""""";"Turtle""""";"Bird""""";"ToothWhaleDolph""""";"Worm""""";"LbathyPela""""";"Obenth""""";"PredEchino""""";"LDeepWatCom""""";"VIgDem""""";"LDemShaRay""""";;SUM;;;
"Sdem""""";1,94088E+11;1,69771E+12;2,92362E+11;747999469,9;33174270811;1625079271;672432187,8;505849826,8;90366673,1;22896271,77;1264659614;1344790277;18772146793;1658336401;760295379,5;88396782,15;5457600,2;717078,95;87552374,8;32099841,99;50181297,67;81463916,91;12960726,06;3171295,14;9327291,99;2241136,31;6359159,79;18354955,73;5213162,34;98500438,17;3833858,2;650315839,6;34242948,47;474309,91;74296,15;195439,39;;2245993884732,03;0,0011;;
"SDemShaRay""""";655588878;1070355748;192432607,7;2358411,29;25810225,45;1040386,82;2129079,49;811498,01;107000,03;27177,47;2100644,95;2140256,59;25818846,93;5664942,12;2189157,96;367253,76;15490,38;2391,13;305945,57;100564,5;376794,83;343230,12;37137,65;9095,44;30055,04;8791,95;15123,09;60855,7;19495,85;349912,92;49661,59;1927431,28;536966,85;2569,79;476,95;1042,71;;1993135148,12;0,0000;;
"Shri""""";1,88856E+13;8,90233E+12;1,73683E+12;43807939188;3,28057E+11;8468774388;33174270811;5387290552;580155491,5;195430585,6;43495047030;37969428563;5,46083E+11;1,54516E+11;54663315985;4948159770;79686294,86;37212014,52;4316238405;2566361721;1110685600;674402983,2;227059155;25141760,35;157379570;27168658,37;386126315,8;333546455,8;120678912,8;479612210,4;9858210,76;1843706247;48032493,88;483522,24;59089,07;735808,85;;30798518306365,50;0,0155;;
"Szoopl""""";8,63313E+14;5,46593E+12;1,09302E+13;1,94068E+12;7,56698E+12;2632999511;1,44306E+12;1,39679E+11;6423652980;4090098352;1,78278E+12;1,51744E+12;2,16368E+13;7,04332E+12;2,44105E+12;2,2242E+11;2991320515;1660768971;1,9013E+11;1,15336E+11;47030211134;23053158096;8082945637;750936020,7;5911516938;957686722,1;16755010212;13279737493;4742575651;14165050011;123603559,5;26433081084;651958473,2;4751469,64;719710,38;14476697,6;;925928211581875,00;0,4666;;
"ToothWhaleDolph""""";956933802,9;2789750383;490274667,7;3009140,01;60339456,39;2675051,39;2606581,17;1168369,63;186418,54;48970,32;3524935,49;3773541,59;47365880,06;8197154,67;3239923,57;622709,06;23991,61;3316,74;433327,85;157001,87;227660,91;306270,58;54095,94;12878,13;44213,62;10260,97;23662,33;53845,86;24098,43;277329,45;46473,23;1824223,98;297920,21;1094,29;199,17;1069,42;;4377539920,04;0,0000;;
"Tuna""""";1997788579;3871120667;682365038,1;5955551,75;87654924,35;3722051,48;6003360,22;2183640,53;307462,91;78780,72;7699741,24;6887598,63;93386332,09;18750724,12;10719067,57;959872,9;37813,25;5247,56;942921,67;480390,38;906080,07;566081,49;116437,06;18931,75;82580,17;17936,23;128559,67;147617,7;52781,54;337315,79;95243,08;1794356,76;1002525,44;2062,9;470,22;1541,69;;6802320287,36;0,0000;;
"Turtle""""";102974848,4;985588836;170718412,7;409428,86;19306315,79;942014,8;317957,99;267889,78;49452,73;12434,59;665132,55;866360,97;10185725,6;829963,8;215473,11;98973,39;5843,62;619,82;30761,72;10697,71;4291,68;44751,48;2503,13;2961,73;7626,84;795,95;4,7;9156,58;2366,23;18434,25;3029,4;484282,37;821,32;109,95;12,85;135,41;;1294078427,71;0,0000;;
"VIgDem""""";985207,92;211679,52;63908,03;15273,68;14772,27;523,69;18574,04;8379,81;952,34;209,21;5699,32;6259,77;43175,81;12974,32;8001,47;1161,66;106,87;11,08;2695,73;269,97;6571,35;5005,44;574,3;89,27;299,62;125,51;64,24;581,06;99,59;4949,49;757,5;23721,25;10721,49;36,6;7,31;13,63;;1453454,17;0,0000;;
"VIgDemCom""""";914484174,5;750936020,7;138374422,7;2744449,71;21370496,3;731618,69;2695600,87;813374,59;95884,27;24824,78;2911497,25;2521597,97;33647340,03;8422297,55;4400706,57;419078,18;14629,08;2364,31;409615,04;201899,67;459958,09;280495,4;51196,56;7617,32;33929,36;8138,03;50349,43;61103,92;21892,82;177741,41;48869,67;818933,08;568096,59;1385,33;303,52;768,06;;1887812671,41;0,0000;;
"Worm""""";15982683334;14165050011;2621943416;82528439,85;407670378,8;14928112,47;83725372,44;32583336,01;3369351,03;653051,67;48824394,99;40886391,79;555987608,4;145216700;49131873,4;8103255,87;260653,11;53524,11;8448665,5;2341398,28;20370960,05;11735013,69;1736332;177741,41;921097,03;313079,98;313382,2;1121495,83;471460,06;5672640,84;2816921,74;21939883,51;35806806,35;70976;16828,25;37015,9;;34357910903,89;0,0000;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1984426494535930,00;1,0000;;
